algorithm,neo4j_category,tier,primitive_family,format_name,base_snapshot_layout,property_planes,auxiliary_indexes,compute_scratch,result_sidecar,why_matches,why_generic_misaligned,expected_payoff,implementation_complexity,benchmark_priority,source_url
Article Rank,centrality,production,iterative_rank_vector,ArticleRankInboundPowerSnapshotV1,InboundPowerLayoutV1,in.weight.f32 optional;out.mass.f32;avg_out_degree.f32.json,dangling.bitset;partition.node_ranges,score.curr.f32;score.next.f32;delta.f32,article_rank.score.f32.bin;article_rank.meta.json,article rank is a page rank style inbound gather with rescaled outgoing mass,property rows hide a pure numeric fixed point loop,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/article-rank/
Articulation Points,centrality,production,connectivity_lowlink,ArticulationLowlinkSnapshotV1,ConnectivityLowlinkLayoutV1,none,undir.edge_id;undir.twin_halfedge,disc.u32;low.u32;parent.u32;stack.u32,articulation.bitset.bin;biconnected.id.u32.bin,lowlink DFS wants stable twin edges and dense parent arrays,relationship objects are the wrong shape for lowlink bookkeeping,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/articulation-points/
Betweenness Centrality,centrality,production,relaxation_frontier,BetweennessBrandesSnapshotV1,RelaxationFrontierLayoutV1,edge.weight.f32 optional,source.partition.u32 optional,dist.f32;sigma.f32;delta.f32;pred.offsets.u64;pred.nodes.u32,betweenness.score.f32.bin;betweenness.meta.json,brandes style accumulation is repeated frontier relaxation plus dependency backpropagation,property graph overhead compounds across many source traversals,medium,high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/betweenness-centrality/
Bridges,centrality,production,connectivity_lowlink,BridgeLowlinkSnapshotV1,ConnectivityLowlinkLayoutV1,none,undir.edge_id;undir.twin_halfedge,disc.u32;low.u32;parent.u32,bridge.edge_bitset.bin,bridges are a lowlink problem over stable undirected half edges,edge identity should be array resident not reconstructed per traversal,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/bridges/
CELF,centrality,production,monte_carlo_influence,CelfInfluenceCascadeSnapshotV1,InfluenceMonteCarloLayoutV1,activation.prob.f32;sample.seed.u64,rrset.offsets.u64 optional;rrset.nodes.u32 optional;seed_gain.cache optional,active.queue.u32;visited.bitset;spread.cache.f32,celf.seed.u32.bin;celf.spread.f32.bin;celf.meta.json,celf is dominated by repeated cascade simulation and marginal gain caching,generic graph storage is less important than simulation reuse and cache locality,low,high,P3,https://neo4j.com/docs/graph-data-science/current/algorithms/celf/
Closeness Centrality,centrality,production,relaxation_frontier,ClosenessRadiusSnapshotV1,RelaxationFrontierLayoutV1,edge.weight.f32 optional,source.partition.u32 optional,dist.f32;frontier.queue.u32,closeness.score.f32.bin;closeness.meta.json,closeness is repeated shortest path accumulation from many sources,the runtime needs distance arrays not row materialization,medium,high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/closeness-centrality/
Degree Centrality,centrality,production,anchor_dual_csr,DegreeCentralityAnchorDualCsrSnapshotV1,AnchorDualCsrLayoutV1,degree.out.u32;degree.in.u32,none,none,degree.score.u32.bin,degree centrality is already present in the adjacency slice shape,property graphs add anchor and relationship overhead to a simple count,very_high,low,P0,https://neo4j.com/docs/graph-data-science/current/algorithms/degree-centrality/
Eigenvector Centrality,centrality,production,iterative_rank_vector,EigenvectorInboundPowerSnapshotV1,InboundPowerLayoutV1,in.weight.f32 optional;out.mass.f32,partition.node_ranges,score.curr.f32;score.next.f32;norm.f32,eigenvector.score.f32.bin;eigenvector.meta.json,eigenvector centrality is pure repeated inbound numeric aggregation,generic storage obscures a matrix vector multiplication loop,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/eigenvector-centrality/
Harmonic Centrality,centrality,production,relaxation_frontier,HarmonicRadiusSnapshotV1,RelaxationFrontierLayoutV1,edge.weight.f32 optional,source.partition.u32 optional,dist.f32;frontier.queue.u32,harmonic.score.f32.bin;harmonic.meta.json,harmonic centrality is a distance sweep plus reciprocal accumulation,the hot loop wants numeric distance planes not property lookups,medium,high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/harmonic-centrality/
PageRank,centrality,production,iterative_rank_vector,PageRankInboundPowerSnapshotV1,InboundPowerLayoutV1,in.weight.f32 optional;out.mass.f32;teleport.bias.f32 optional,dangling.bitset;partition.node_ranges,score.curr.f32;score.next.f32;delta.f32,pagerank.score.f32.bin;pagerank.meta.json,pagerank is a canonical inbound gather over dense score arrays,property graphs pay row and planner overhead instead of streaming multiply add,very_high,medium,P0,https://neo4j.com/docs/graph-data-science/current/algorithms/page-rank/
HITS,centrality,alpha,iterative_rank_vector,HitsHubAuthoritySnapshotV1,InboundPowerLayoutV1,in.weight.f32 optional;out.mass.f32,rev.index.required;partition.node_ranges,hub.curr.f32;hub.next.f32;auth.curr.f32;auth.next.f32,hits.hub.f32.bin;hits.auth.f32.bin,hits is coupled power iteration over forward and inverse adjacency,the requirement for inverse access is better served by explicit planes than by generic relationships,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/hits/
Clique Counting,community,production,ordered_wedge,CliqueCountingOrderedWedgeSnapshotV1,OrderedWedgeLayoutV1,none,degree.u32;degeneracy.order.u32,intersection.cursor.u32;clique.count.tmp.u32,clique.count.u32.bin;clique.meta.json,clique counting is wedge expansion on ordered neighbor lists,generic adjacency iteration misses the value of sorted intersections,medium,high,P3,https://neo4j.com/docs/graph-data-science/current/algorithms/clique-counting/
Conductance metric,community,production,partition_refinement,ConductanceBoundarySnapshotV1,PartitionRefinementLayoutV1,community.input.u32;edge.weight.f32 optional,community.bucket.offsets.u64 optional,boundary.f32;volume.f32,conductance.per_community.f32.bin;conductance.meta.json,conductance consumes a community assignment and boundary volumes,it should read a partition sidecar instead of scanning property records each time,medium,medium,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/conductance/
HDBSCAN,community,production,feature_metric,HdbscanDistanceMstSnapshotV1,FeatureMetricLayoutV1,features.rowmajor.f32;feature.norm.f32,candidate.offsets.u64 optional;candidate.peers.u32 optional,mutual_reachability.f32;cluster_tree.tmp,hdbscan.label.i32.bin;hdbscan.prob.f32.bin;hdbscan.tree.bin,hdbscan is a feature space clustering workload first and a graph workload second,forcing topology first storage adds overhead to distance heavy work,low,high,P3,https://neo4j.com/docs/graph-data-science/current/algorithms/hdbscan/
K-Core Decomposition,community,production,peel_bucket,KCorePeelBucketSnapshotV1,PeelBucketLayoutV1,degree.u32,bucket.head.u32;bucket.next.u32,core.degree.u32;active.bitset,core.number.u32.bin,k core is iterative degree peeling over buckets,the key state is degree bucket membership not general traversal objects,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/k-core/
K-1 Coloring,community,production,peel_bucket,K1ColoringBucketSnapshotV1,PeelBucketLayoutV1,none,neighbor_color.bitset;degree.u32,color.u32;conflict.count.u32,color.id.u32.bin,graph coloring wants cheap neighbor color sets and greedy reassignment,generic property graphs do not naturally expose packed color bitsets,medium,medium,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/k1coloring/
K-Means Clustering,community,production,feature_metric,KMeansFeatureCentroidSnapshotV1,FeatureMetricLayoutV1,features.rowmajor.f32;feature.norm.f32,none,centroid.f32;assignment.u32;distance.f32,kmeans.label.u32.bin;kmeans.centroid.f32.bin;kmeans.silhouette.f32.bin,k means ignores relationships and wants row major vectors plus centroid arrays,topology shaped storage creates noise for a vector only workload,low,medium,P3,https://neo4j.com/docs/graph-data-science/current/algorithms/kmeans/
Label Propagation,community,production,partition_refinement,LabelPropagationCommunitySnapshotV1,PartitionRefinementLayoutV1,edge.weight.f32 optional,none,label.curr.u32;label.next.u32;hist.offsets.u64 optional,label_propagation.id.u32.bin,label propagation is repeated neighbor label tallying over dense IDs,generic graph stores spend too much on relationship abstraction for a majority vote loop,high,medium,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/label-propagation/
