folder	file_count	evidence_status	primary_source_pointer	documented_in	PRD_decision_value	remaining_gap	confidence
procedure-collector	5	Covered	procedure-collector/processor/src/main/java/org/neo4j/gds/procedure/ProcedureCollector.java:42	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines how public callable AlgorithmSpec classes are discovered.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
native-projection	47	Covered	native-projection/src/main/java/org/neo4j/gds/projection/GraphProjectFromStoreConfig.java:40	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines native projection grammar, normalization, and validation.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
legacy-cypher-projection	19	Covered	legacy-cypher-projection/src/main/java/org/neo4j/gds/projection/GraphProjectFromCypherConfig.java:35	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines Cypher projection grammar, read-only guard, and explain estimator.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
collections-memory-estimation	3	Covered	collections-memory-estimation/src/main/java/org/neo4j/gds/mem/estimation/HugeSparseCollections.java:30	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines sparse huge collection MemoryRange formulas.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
applications/services	3	Covered	applications/services/src/main/java/org/neo4j/gds/applications/services/GraphDimensionFactory.java:40	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines graph dimensions used by algorithm estimates.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
open-write-services	2	Covered	open-write-services/src/main/java/org/neo4j/gds/core/write/OpenGdsExportBuildersExtension.java:20	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines openGDS write/export extension seam.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
applications/operations	4	Covered	applications/operations/src/main/java/org/neo4j/gds/applications/operations/OperationsApplications.java:35	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines progress/log/toggle control-plane behavior.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
applications/graph-store-catalog-results	18	Covered	applications/graph-store-catalog-results/src/main/java/org/neo4j/gds/applications/graphstorecatalog/GraphMemoryUsage.java:40	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines resident graph memory reporting and write result shapes.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
neo4j-api	4	Covered	neo4j-api/src/main/java/org/neo4j/gds/compat/ProcedureReturnColumns.java:20	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines Neo4j procedure return column compatibility seam.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
neo4j-adapter	7	Covered	neo4j-adapter/src/main/java/org/neo4j/gds/compat/neo4j/InternalReadOps.java:25	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines adapter access to Neo4j id generator/high-water information.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
neo4j-values	10	Covered	neo4j-values/src/main/java/org/neo4j/gds/values/Neo4jNodePropertyValuesUtil.java:20	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines Neo4j value export wrappers.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
gds-values	28	Covered	gds-values/src/main/java/org/neo4j/gds/values/PrimitiveValues.java:20	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines supported GDS property values and unsupported type rejection.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
io	143	Covered	io/core/src/main/java/org/neo4j/gds/core/io/GraphStoreExporter.java:20	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines import/export artifacts and CSV export memory estimates.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
proc/machine-learning	84	Covered	proc/machine-learning/src/main/java/org/neo4j/gds/ml/kge/KGEPredictWriteProc.java:39	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines ML public procedure modes, estimates, and model/write behavior.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
proc/pipeline-catalog	7	Covered	proc/pipeline-catalog/src/main/java/org/neo4j/gds/pipeline/catalog/PipelineDropProc.java:40	GDS-PRD-L1-Evidence-Dossier-v2.md and companion TSVs	Defines pipeline catalog list/drop/exists behavior.	Deep per-procedure implementation trace still needed before implementation claim.	DirectSource
