query_id	architecture_question_ids	source_term_ids	service	query_text	categories	date_from	date_to	exclusions	executed_at	result_count	response_checksum	status
QRY-001	AQ-001|AQ-002	TERM-001|TERM-002|TERM-003|TERM-004|TERM-009	arXiv	PageRank algorithm shaped storage immutable canonical generation physical view portfolio artifact memory working set	cs.DS|cs.DB|cs.PF	1970-01-01	2026-08-11	generic graph database|survey only|programming-language comparison	2026-08-11T06:58:50Z	20	3df5ad2d8c759690e2a757137985a761481c5f2d7e86e4efb1d9c21a1af8f6f2	EXECUTED
QRY-002	AQ-001|AQ-002|AQ-009	TERM-005|TERM-006|TERM-007|TERM-009|TERM-065	arXiv	PageRank view promotion lifecycle shared substrate custom state query shape optimization preparation amortization	cs.DB|cs.DS	1970-01-01	2026-08-11	universal graph format|free preprocessing|opinion only	2026-08-11T06:58:58Z	19	552ab0732a952a1f06b290f251230a8a10337cda506f7e13258d3a3b0c4bb07f	EXECUTED
QRY-003	AQ-002	TERM-009|TERM-010|TERM-011|TERM-012	arXiv	PageRank pull-based CSC destination-major memory bandwidth cache locality	cs.DS|cs.PF|cs.DC	1970-01-01	2026-08-11	generic centrality survey|GNN training|language-only speedup	2026-08-11T06:59:07Z	23	9e645082df46ff919ee7378d02940a0171706ce953d91193e239d2639a17d9e1	EXECUTED
QRY-004	AQ-002|AQ-008	TERM-009|TERM-012|TERM-015|TERM-057|TERM-059	arXiv	PageRank power iteration external-memory tiled rank vectors bounded buffer I/O	cs.DS|cs.DC|cs.PF	1970-01-01	2026-08-11	distributed-only system|GPU-only fit|top-K without state model	2026-08-11T06:59:16Z	26	83d136cbe2f40704a9baec6b4da605cc4ad166f278e648d08b96ea59176ef9e2	EXECUTED
QRY-005	AQ-003	TERM-017|TERM-018|TERM-019|TERM-020	arXiv	breadth-first search direction-optimizing sparse bitmap frontier memory	cs.DS|cs.PF	1970-01-01	2026-08-11	all-pairs shortest paths|generic traversal survey|unbounded enumeration	2026-08-11T06:59:24Z	28	71d8ecd6019721441735b026818fdf79f6fc065d062e52000107f818b43fac07	EXECUTED
QRY-006	AQ-003|AQ-008	TERM-017|TERM-021|TERM-022|TERM-023|TERM-057	arXiv	bounded BFS reachability external-memory blocked adjacency predecessor priority queue I/O	cs.DS|cs.DB|cs.DC	1970-01-01	2026-08-11	in-memory-only BFS|routing application only|no memory model	2026-08-11T06:59:33Z	20	fca8749344321b3061e9a3c054891cc2b0744e44082d7970ada41cbad19c33b6	EXECUTED
QRY-007	AQ-004	TERM-025|TERM-026|TERM-027|TERM-028	arXiv	weakly connected components streaming union-find Afforest memory bandwidth	cs.DS|cs.PF|cs.DC	1970-01-01	2026-08-11	strongly connected components|wireless WCC|community detection	2026-08-11T06:59:41Z	29	77f41f630410d92bb785c0e6e1a06b2f02d172b9e8d9ab3e697c53c2464d714c	EXECUTED
QRY-008	AQ-004|AQ-008	TERM-025|TERM-029|TERM-031|TERM-057|TERM-060	arXiv	streaming weakly connected components external-memory partition union quotient bounded merge	cs.DS|cs.DC|cs.DB	1970-01-01	2026-08-11	approximate connectivity|distributed-only system|no exact certificate	2026-08-11T06:59:50Z	30	3d451a73ecb2e74bbcaf1a7454252887ff978ec84e46ecf3ae890b03d60c6e85	EXECUTED
QRY-009	AQ-005	TERM-033|TERM-034|TERM-035|TERM-036	arXiv	triangle counting degree degeneracy orientation compressed adjacency intersection	cs.DS|cs.PF	1970-01-01	2026-08-11	geometric triangles|triangle inequality|computer vision	2026-08-11T06:59:59Z	17	47a9435b0329f0fe71d9cb5d9a816d5f87d6df85ad18d7c97803c985a2c72ed9	EXECUTED
QRY-010	AQ-005|AQ-008	TERM-033|TERM-037|TERM-038|TERM-039|TERM-057	arXiv	degree oriented triangle counting external-memory wedge runs hub bitmap bounded counters	cs.DS|cs.DC|cs.PF	1970-01-01	2026-08-11	approximate sampling only|mesh processing|generic motif survey	2026-08-11T07:00:08Z	17	5ec6cac4a1fad96677400a2fe2536adb3f3bb769bf0e906437fd87f656a367ea	EXECUTED
