req_id	named_roots	repo_root_graph_status	folder_or_subpath_result	exception_or_note
REQ-LEARN-002.0	neo4j-src	CbmSemanticReadyCgcLowYield	community/record-storage-engine; community/kernel; community/kernel-api; community/storage-engine-util; community/io; community/collections	All named folders exist under gitrefrepo/neo4j-src
REQ-LEARN-003.0	neo4j-src; neo4j-docs-bolt-src; neo4j-testkit-src; neo4j-*-driver-src	CBM on neo4j-src; GraphToolLowYield on neo4j-docs-bolt-src; DualSemanticReady on neo4j-testkit-src; CBM on driver repos	community/bolt; neo4j-dotnet-driver-src; neo4j-go-driver-src; neo4j-java-driver-src; neo4j-javascript-driver-src; neo4j-python-driver-src	Driver wildcard expands locally to five concrete driver repos
REQ-LEARN-004.0	neo4j-src	CbmSemanticReadyCgcLowYield	community/cypher/front-end; community/cypher/cypher-planner; community/cypher/cypher-logical-plans; community/cypher/physical-planning; community/cypher/slotted-runtime; community/cypher/interpreted-runtime; community/cypher/runtime-spec-suite; community/cypher/compatibility-spec-suite	Spec shorthand requires community/cypher path normalization
REQ-LEARN-005.0	neo4j-src	CbmSemanticReadyCgcLowYield	community/procedure; community/procedure-api; community/procedure-compiler; community/values	Spec shorthand requires community/ prefix normalization
REQ-LEARN-006.0	neo4j-gds-src	CbmSemanticReadyCgcLowYield	proc; procedures; applications/algorithms; applications/graph-store-catalog; procedures/*-facade*	Facade clause is a valid pattern scope rather than one concrete folder
REQ-LEARN-007.0	neo4j-gds-src	CbmSemanticReadyCgcLowYield	core; core-api; native-projection; legacy-cypher-projection; graph-projection-api; triplet-graph-builder; graph-schema-api; graph-dimensions	All named folders exist under gitrefrepo/neo4j-gds-src
REQ-LEARN-008.0	neo4j-gds-src	CbmSemanticReadyCgcLowYield	executor; memory-estimation; memory-usage; collections-memory-estimation	All named folders exist under gitrefrepo/neo4j-gds-src
REQ-LEARN-009.0	neo4j-gds-src	CbmSemanticReadyCgcLowYield	algo; algorithm-specifications; algo-params; proc/centrality; proc/community; proc/path-finding; proc/similarity; proc/embeddings; proc/machine-learning	Proc family clause is a valid pattern scope
REQ-LEARN-010.0	neo4j-gds-src	CbmSemanticReadyCgcLowYield	core-write; model-catalog-api; open-model-catalog; pipeline; ml	All named folders exist under gitrefrepo/neo4j-gds-src
REQ-LEARN-011.0	apache-iggy-src; rocksdb-src; fjall-src; redb-src; tikv-src	CBM on apache-iggy-src; rocksdb-src; tikv-src; DualSemanticReady on fjall-src; redb-src	repo roots only	All named repo roots exist locally
