procedure_name	mode	family	config_type_or_surface	result_type_or_surface	estimate_path	algorithm_factory_or_spec	kernel_or_impl	graph_interfaces_or_runtime	topology_orientation	sidecar_inputs	dominant_runtime_state	mutate_write_target	required_v003_storage_shape	risk_50gb_on_8gb	source_evidence
gds.pageRank.stream	stream	centrality	PageRankStreamConfig	CentralityStreamResult	PageRankStreamProc.estimate -> CentralityProcedureFacade.pageRankStreamEstimate -> LocalCentralityProcedureFacade.pageRankStreamEstimate -> estimationModeBusinessFacade.pageRank -> PageRankMemoryEstimateDefinition	CentralityAlgorithms.pageRank(...)	PageRankAlgorithm -> PageRankComputation	org.neo4j.gds.api.Graph plus Pregel-style neighbor messaging	MissingEvidence for exact physical orientation in the current study pass; projected graph and optional relationship weighting are clearly involved	optional relationship weight property; source nodes; projected graph metadata	one per-node double rank state plus message flow; result extraction into HugeDoubleArray	none	flat global adjacency plus optional weight sidecar plus per-node state	high	PageRankStreamProc.java:41-57; CentralityProcedureFacade.java:273-278; LocalCentralityProcedureFacade.java:1173-1199; CentralityAlgorithms.java:366-440; PageRankMemoryEstimateDefinition.java:29-37; PageRankAlgorithm.java:39-136; PageRankComputation.java:35-114
gds.pageRank.write	write	centrality	PageRankWriteConfig	PageRankWriteResult	PageRankWriteProc.estimate -> CentralityProcedureFacade.pageRankWriteEstimate -> LocalCentralityProcedureFacade.pageRankWriteEstimate -> estimationModeBusinessFacade.pageRank -> PageRankMemoryEstimateDefinition	CentralityAlgorithms.pageRank(...) plus write-mode business path	PageRankAlgorithm -> PageRankWriteStep	Graph, GraphStore, and ResultStore appear in the write step	MissingEvidence for exact physical orientation in the current study pass	optional relationship weight property; projected graph metadata; write-property config	PageRank state plus writeback result path	writeToDatabase.perform(...) writes node property values	flat global adjacency plus optional weight sidecar plus per-node state plus true OLTP writeback or explicit deferred/result-sidecar semantics	high	PageRankWriteProc.java:42-58; LocalCentralityProcedureFacade.java:1202-1230; PageRankWriteStep.java:34-67; PageRankMemoryEstimateDefinition.java:29-37
gds.bfs.stream	stream	path-finding	BfsBaseConfig and BfsStreamConfig with source node, target nodes, optional maxDepth	MissingEvidence	BfsStreamProc.estimate -> BfsMemoryEstimateDefinition	PathFindingAlgorithms.breadthFirstSearch(...)	BreadthFirstSearch -> BFS	frontier traversal over canonical adjacency with bounded scratch	MissingEvidence for exact physical orientation in the current study pass	source node; target nodes; optional depth limits	visited bitset, traversed node array, weight/depth array, per-thread local node chunks	mutate path exists; no write proc found in the current public surface pass	canonical adjacency plus bounded frontier scratch, no persistent BFS layout	medium	BfsStreamProc.java:41-56; BfsBaseConfig.java:27-40; BFS.java:62-145; BfsMemoryEstimateDefinition.java:32-70
gds.wcc.stream	stream	community / connectivity	WccBaseConfig with optional seedProperty, relationshipWeightProperty, threshold, consecutiveIds	MissingEvidence	WccStreamProc.estimate -> WccMemoryEstimateDefinition	CommunityAlgorithms.wcc(...)	WccStub -> Wcc	community detection over flat or reverse-oriented adjacency with optional seeding and thresholds	MissingEvidence for exact physical orientation in the current study pass	optional seedProperty; optional relationshipWeightProperty	HugeAtomicDisjointSetStruct plus optional seeding and threshold logic	mutate/write as node-property values via WccWriteStep	flat or inverse-indexed adjacency plus optional weight/seed sidecars and per-node result handling	medium	WccStreamProc.java:41-56; WccBaseConfig.java:30-46; CommunityAlgorithms.java:439-450; Wcc.java:54-120; WccMemoryEstimateDefinition.java:27-40
gds.nodeSimilarity.stream	stream	similarity	NodeSimilarityBaseConfig with topK, topN, degree cutoffs, component filtering, optional weights	MissingEvidence	NodeSimilarityStreamProc.estimate -> NodeSimilarityMemoryEstimateDefinition	SimilarityAlgorithms.nodeSimilarity(...)	NodeSimilarity	neighbor-vector and candidate-pruning runtime over canonical graph plus optional WCC prepass	MissingEvidence for exact physical orientation in the current study pass	optional weights; source/target filters; optional WCC prepass	neighbor vectors, optional weight vectors, TopKMap / TopNList, optional similarity graph	mutate/write create relationship-oriented similarity results via NodeSimilarityWriteStep	canonical adjacency is necessary but not sufficient; likely needs pruning, spill, or sparse-kernel path	high	NodeSimilarityStreamProc.java:41-56; NodeSimilarityBaseConfig.java:35-110; SimilarityAlgorithms.java:196-236; NodeSimilarity.java:220-320; NodeSimilarityMemoryEstimateDefinition.java:36-108; NodeSimilarityWriteStep.java:37-84
gds.fastRP.stream	stream	embeddings	FastRPBaseConfig with embedding dimension, property ratio, feature properties, weights, seed	MissingEvidence	FastRPStreamProc.estimate -> FastRPMemoryEstimateDefinition	NodeEmbeddingAlgorithms.fastRP(...)	FastRP	propagation over topology plus dense feature/property vectors	MissingEvidence for exact physical orientation in the current study pass	feature properties; optional relationship weights; seed	propertyVectors plus three per-node embedding arrays	mutate/write as node-property embeddings via FastRPWriteStep	topology plus feature-property sidecars plus embedding/result sidecars; strict RAM must account for dense matrices	high	FastRPStreamProc.java:41-56; FastRPBaseConfig.java:34-85; NodeEmbeddingAlgorithms.java:80-104; FastRP.java:55-130; FastRPMemoryEstimateDefinition.java:30-50; FastRPWriteStep.java:35-64
gds.louvain.stream	stream	community	LouvainBaseConfig with seedProperty, relationshipWeightProperty, tolerance, maxIterations, maxLevels, includeIntermediateCommunities	MissingEvidence	LouvainStreamProc.estimate -> CommunityAlgorithms.louvain(...) -> LouvainMemoryEstimateDefinition	CommunityAlgorithms.louvain(...)	Louvain runtime plus aggregated-subgraph iteration and dendrogram handling	modularity-optimization workspace with new graph creation every iteration	MissingEvidence for exact physical orientation in the current study pass	optional relationshipWeightProperty; optional seedProperty	modularity workspace, aggregated subgraph per iteration, dendrogram state	node-property writeback or intermediate-community arrays	canonical adjacency plus optional weight/seed sidecars plus runtime graph workspace plus hierarchical result sidecar	high	LouvainStreamProc.java:41-57; LouvainBaseConfig.java:30-80; CommunityAlgorithms.java:309-334; LouvainMemoryEstimateDefinition.java:48-80; LouvainWriteStep.java:47-85
gds.leiden.stream	stream	community	LeidenBaseConfig with gamma, theta, maxLevels, includeIntermediateCommunities, random seed, tolerance	MissingEvidence	LeidenStreamProc.estimate -> CommunityAlgorithms.leiden(...) -> LeidenMemoryEstimateDefinition	CommunityAlgorithms.leiden(...)	Leiden runtime with local move, refinement, aggregation, and dendrogram phases	must operate on undirected projected graphs	optional relationshipWeightProperty; optional seedProperty	multiple heavy per-node arrays, seeded communities, refinement phase, aggregation phase, dendrogram state	node-property writeback or intermediate-community arrays	canonical undirected adjacency plus runtime graph workspace plus hierarchical result sidecar	high	LeidenStreamProc.java:42-58; LeidenBaseConfig.java:30-76; CommunityAlgorithms.java:273-299; LeidenMemoryEstimateDefinition.java:37-61; LeidenWriteStep.java:47-88
gds.triangleCount.stream	stream	community / structural	TriangleCountBaseConfig with undirected relationship projections and maxDegree	MissingEvidence	TriangleCountStreamProc.estimate -> CommunityAlgorithms.triangleCount(...) -> IntersectingTriangleCountMemoryEstimateDefinition	CommunityAlgorithms.triangleCount(...)	IntersectingTriangleCount.create(...) -> IntersectingTriangleCount	sorted neighborhood intersection over undirected projection	undirected relationship projections	maxDegree gate; projected graph metadata	per-node triangle counts plus neighborhood-intersection work	localTriangles() node-property writeback	canonical adjacency with sorted or intersection-friendly neighborhoods plus degree gates plus result sidecar	medium	TriangleCountStreamProc.java:42-57; TriangleCountBaseConfig.java:36-70; CommunityAlgorithms.java:405-425; IntersectingTriangleCountMemoryEstimateDefinition.java:27-34; IntersectingTriangleCount.java:42-129; TriangleCountWriteStep.java:44-63
gds.knn.stream	stream	similarity	KnnBaseConfig with nodeProperties, topK, sampleRate, perturbation, randomJoins, samplerType	MissingEvidence	KnnStreamProc.estimate -> KnnMemoryEstimateDefinition	Knn	Knn	node-property-driven candidate graph and random-neighbor search	MissingEvidence for topology orientation; node identity and optional graph seeding are secondary to property vectors	mandatory nodeProperties; sampler parameters; optional seeding	top-k neighbor lists, reverse-neighbor lists, per-thread random-neighbor buffers	relationship writeback	typed property plane plus relationship result artifact plus optional seeding metadata	high	KnnStreamProc.java:41-56; KnnBaseConfig.java:30-104; KnnMemoryEstimateDefinition.java:44-88; Knn.java:41-120; KnnWriteStep.java:66-86
