surface	operation	graph_scale_assumption	heap_bytes	rss_page_cache_policy	direct_buffer_bytes	topology_bytes	sidecar_bytes	result_artifact_bytes	model_artifact_bytes	scratch_bytes	spill_bytes	retained_generation_bytes	algorithm_state_bytes	total_required_bytes	budget_bytes	decision	measurement_source	formula_notes
catalog	gds.graph.list	50GB logical graph / 8GB machine	catalog_rows * row_overhead	mmap metadata only; no topology prefetch	0	0	graph_schema_summary_bytes	0	0	0	0	retained_generation_catalog_bytes	0	heap + retained_generation_catalog_bytes	8GB	pass-if-catalog-bounded	DirectSource: Batch-10 B10-001	GraphStoreCatalog-style named metadata should not load topology.
projection	gds.graph.project.estimate	50GB logical graph / 8GB machine	estimator_tree_bytes	no data files opened for estimate	0	estimated_topology_bytes	estimated_sidecar_bytes	0	0	0	0	0	0	sum_of_estimated_components	8GB	pass-if-estimate-only	DirectSource: Batch-10 B10-005; B10-008	Estimate must be compositional and not build the projection.
projection	projection.build	50GB logical graph / 8GB machine	builder_heap_budget	page-cache from buffered receipt/log reads must be counted	direct_io_buffers_if_strict	output_topology_bytes	output_sidecar_bytes	0	0	sort_buffers + validation_buffers	spill_run_bytes	previous_generation_retained_bytes	0	heap + direct + scratch + retained_generation_residency_policy	8GB	NeedsBenchmark	DirectSource: PRD; Batch-03; Batch-04	Strict build path should prefer explicit buffers or direct I/O for large scans.
publication	snapshot.publish	50GB logical graph / 8GB machine	catalog_update_bytes	metadata-only page-cache	0	0	0	0	0	0	0	two_generation_metadata + optional retained file residency	0	heap + retained_generation_metadata	8GB	pass-if-atomic-metadata-only	DirectSource: Batch-04	Publication must not copy full topology.
centrality	gds.pageRank.stream	200M nodes / 1B edges	iterator_and_result_stream_heap	explicit O_DIRECT for strict plan; mmap only for fast non-strict mode	64MB to 512MB	0	optional_weight_column_bytes	0	0	0	optional_spill_for_rank_vectors	0	2 * node_count * 8 bytes plus optional dangling/outdegree arrays	heap + direct + sidecar + algorithm_state + spill	8GB	pass-Level2-if-vectors-fit; Level3-NeedsBenchmark	DirectSource: GDS ledger PageRank; Batch-10 B10-012	At 200M nodes two f64 vectors are about 3.2GB before extra state.
path-finding	gds.bfs.stream	200M nodes / 1B edges	frontier_heap_cap	mmap ok for interactive; strict mode uses explicit edge/cell reads	64MB to 256MB	0	0	path_result_bytes	0	0	optional_frontier_spill	0	visited_bitset + frontier + parent_or_distance_if_requested	heap + direct + result + algorithm_state + spill	8GB	pass-if-frontier-bounded	DirectSource: GDS ledger BFS	Single-source BFS can be budgeted; all-pairs variants are separate rows.
community	gds.wcc.stream	200M nodes / 1B edges	union_find_heap_or_spill	explicit global stream preferred for strict plan	64MB to 512MB	0	optional_weight_or_seed_columns	component_result_bytes	0	0	optional_component_spill	0	component_id_or_union_find_state	heap + direct + sidecar + result + state + spill	8GB	NeedsBenchmark	DirectSource: GDS ledger WCC	Union/disjoint-set memory decides whether strict 8GB is viable.
community	gds.triangleCount.stream	200M nodes / 1B edges	intersection_buffer_heap	page-cache risk high on skewed mmap; strict uses sorted neighbor windows	64MB to 512MB	0	degree_or_label_filters	local_triangle_result_bytes	0	high_degree_intersection_buffers	optional_spill	0	per_node_count + intersection_work	heap + direct + sidecar + result + scratch + state	8GB	reject-if-high-degree-buffers-exceed-budget	DirectSource: Batch-08 B08-005	Need maxDegree and skew-aware planner; no durable triangle layout by default.
similarity	gds.nodeSimilarity.stream	200M nodes / 1B edges	candidate_heap_budget	strict mode must avoid O(n^2) materialization	64MB to 512MB	0	label/property_filters	relationship_result_artifact_bytes	0	candidate_topk_buffers	candidate_pair_spill	0	topK_per_node + candidate_state	heap + direct + sidecar + result + scratch + spill + state	8GB	reject-without-candidate-strategy	DirectSource: Batch-10 family matrix; NeedsSource for exact proc	Pairwise similarity is not P1 until candidate generation is proven.
similarity	gds.knn.stream	200M nodes / property vectors	candidate_heap_budget	property columns streamed or blocked, not full pairwise mmap	64MB to 512MB	0	property_vector_columns	relationship_result_artifact_bytes	0	old_new_reverse_neighbor_lists + random_join_buffers	spill_candidate_lists	0	topK_per_node + sampled_candidates	heap + direct + sidecar + result + scratch + spill + state	8GB	P2-NeedsArchitectureSpike	DirectSource: Batch-08 B08-008	KNN is property-plane dominated; graph topology may be secondary.
embeddings	gds.fastRP.stream	200M nodes / 128 dims	embedding_batch_heap	global scans or property streams under budget	64MB to 512MB	0	feature_property_columns	embedding_result_bytes	0	propagation_buffers	embedding_spill	0	node_count * dimension * value_width	heap + direct + sidecar + result + scratch + spill + state	8GB	reject-if-dense-embedding-unspilled	DirectSource: Batch-10 family matrix; NeedsSource exact proc	FastRP likely needs embedding sidecar and spill plan.
embeddings	gds.node2vec.stream	200M nodes / 1B edges	train_batch_heap	random-walk corpus must not live entirely in page cache	64MB to 512MB	0	optional_weight_columns	embedding_result_bytes	model_artifact_bytes	walk_buffers + probability_cache	walk_corpus_spill	0	embedding_matrix + walk_state + model_state	heap + direct + sidecar + result + model + scratch + spill + state	8GB	P2-NeedsBenchmark	DirectSource: Batch-08 B08-010	Large Node2Vec is likely rejected or heavily spilled on 8GB.
community	gds.louvain.stream	200M nodes / 1B edges	community_workspace_heap	global scans plus contracted graph workspace	64MB to 512MB	0	optional_weight_columns	community_result_bytes	0	contracted_graph_workspace	contracted_graph_spill	0	community_ids + aggregate_graph_state	heap + direct + sidecar + result + scratch + spill + state	8GB	P2-NeedsBenchmark	DirectSource: Batch-08 B08-002	No durable Louvain layout; needs runtime contracted-graph workspace.
