term_id	term	term_type	architecture_question_ids	source_repo_paths	synonyms	historical_terms	adjacent_domain_terms	exclusion_terms	notes
TERM-001	algorithm-shaped storage	LAYOUT	AQ-001	docs_PRD04/Algorithm-Storage-Decision-Analysis.md|docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	algorithm-native layout|workload-specific layout	CSR|CSC|adjacency layout	physical database design|tensor layout compiler	universal graph format|format-only architecture	Original repository vocabulary for specialized execution surfaces.
TERM-002	immutable canonical generation	LAYOUT	AQ-001	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	snapshot epoch|canonical artifact	immutable segment|snapshot file	MVCC generation|copy-on-write publication	mutable universal serving store	Rebuild truth separated from evictable physical views.
TERM-003	physical view portfolio	LAYOUT	AQ-001	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	compiled view portfolio|plan portfolio	access paths|materialized views	index advisor|physical design tuning	one universal optimum	Multiple nondominated physical plans under one logical generation.
TERM-004	algorithm-native artifact	LAYOUT	AQ-001	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	compiled physical view|read-shaped surface	algorithm-specific data structure	access method|operator-specific layout	generic graph database	Closed manifest-bound artifact for one family and query class.
TERM-005	view promotion lifecycle	PRODUCT_CONTRACT	AQ-001|AQ-009	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	ephemeral-to-persisted view|artifact promotion	materialized-view selection	cache admission|index lifecycle	permanent-by-default artifact	Promotion is earned by measured reuse and invalidation cost.
TERM-006	shared substrate custom state	LAYOUT	AQ-001	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	shared topology specialized state|common graph substrate	separation of mechanism and policy	tensor state planning|column sidecars	duplicate every graph per algorithm	Separates reusable IDs and blocks from algorithm-specific active state.
TERM-007	query-shape optimization unit	PRODUCT_CONTRACT	AQ-001|AQ-009	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	workload signature|physical-plan key	query class|configuration signature	workload-aware optimization	algorithm name alone	Generation view parameters result cadence and budget form the unit.
TERM-008	representation elimination	LAYOUT	AQ-001	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	avoid materialization|semantic compression	late materialization|projection pruning	column pruning|factorized representation	codec-only optimization	Largest RAM wins can come from never creating an unnecessary form.
TERM-009	PageRank power iteration	ALGORITHM	AQ-002	docs_PRD06/LowRAM-All-Algorithm-Architecture-Atlas.md	rank propagation|random-surfer centrality	power method|Markov chain ranking	HITS|eigenvector centrality	generic graph traversal	Global iterative rank workload distinct from personalized variants.
TERM-010	reverse CSR pull layout	LAYOUT	AQ-002	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	CSC pull layout|destination-major adjacency	compressed sparse column|transpose graph	SpMV pull|gather traversal	forward-only push messenger	Inbound edges grouped by destination for contiguous pull scans.
TERM-011	destination-range pull blocks	LAYOUT	AQ-002	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	destination-major blocks|pull tape	blocked CSC|edge tiling	cache blocking|range partitioning	unordered adjacency	Blocks align topology with bounded destination accumulators.
TERM-012	rank ping-pong vectors	STATE	AQ-002	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	double-buffered rank state|rolling score vectors	Jacobi iteration state	tensor double buffering|iterative solver vectors	top-K removes rank state	Two dense vectors define a basic exact global PageRank state floor.
TERM-013	dangling-node bitmap	STATE	AQ-002	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	dangling bitmap|zero-outdegree mask	node mask|bit vector	sparse boolean sidecar	ignore dangling mass	Compact sidecar for exact dangling-mass treatment.
TERM-014	residual convergence contract	CORRECTNESS	AQ-002|AQ-012	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	convergence tolerance|residual stop rule	iterative solver stopping criterion	numerical analysis|error norm	fixed iterations imply parity	Binds iteration count tolerance and oracle delta.
TERM-015	two-dimensional pull tiles	LAYOUT	AQ-002|AQ-008	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	source-destination tiles|2D edge tiles	blocked matrix multiplication|edge partitions	cache-oblivious tiling|out-of-core SpMV	mmap is bounded execution	Strict plan trades repeated rank and tile traffic for bounded windows.
TERM-016	warm-start rank certificate	STATE	AQ-002|AQ-009	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	previous-rank vector|incremental PageRank seed	incremental computation|dynamic PageRank	memoization|state reuse	stale vector is exact	Generation and semantics must validate reusable rank state.
TERM-017	bounded BFS	ALGORITHM	AQ-003	docs_PRD04/A007-spc-founder-interview-prep-v7.md	breadth-first search|bounded reachability	level-synchronous traversal	attack-path search|dependency blast radius	all-pairs shortest paths	First-ICP traversal constrained by depth cost output or target.
