selection_rank	batch_id	batch_position	paper_id	g04_queue_rank	relevance_score	page_count	pdf_path	pdf_sha256	text_path	text_sha256	architecture_question_ids	selection_basis	reader_agent_id	reviewer_agent_id	reading_status	terminal_outcome	card_ids	reading_coverage	no_mechanism_rationale	result_checksum
1	G05-BATCH-1	1	PAPER-HASH-0232e71ded2b5c43	49	100	26	sources/papers/PAPER-HASH-0232e71ded2b5c43.pdf	82B212F89CA91D7A0B2EE4B9A397EEAA83BA0FBD9BD49ACC099C81C19E9C886C	cache/g04/text/PAPER-HASH-0232e71ded2b5c43.txt	95DC3245BED2D799ACEC439EF0F6F2CC328C573A78A8ABE288215C3757A45CE7	AQ-002|AQ-003|AQ-007|AQ-008|AQ-009|AQ-010|AQ-012	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ac83-7793-86db-1f0b3e883afa	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-REFINE-ENDPOINT-SAMPLES-RECURSIVELY|PAT-STORE-RANDOM-WALK-ENDPOINTS	ALL_PAGES:1-26	NOT_APPLICABLE	A24CA2C0FA47370703A1F752921D7DC1EC9220936B7D6D4DE2F76C9246724903
2	G05-BATCH-2	1	PAPER-0708.3259	37	80	16	sources/papers/PAPER-0708.3259.pdf	DABD45DB70C919E5041997308612FA8B67EC74E69D315EF236A3B46E5B8ABDAB	cache/g04/text/PAPER-0708.3259.txt	884D0C7D9FF0A9A2357C476BFEC2797E1CA6BF3A97306393E0222FB659DFB100	AQ-004|AQ-005|AQ-008|AQ-012	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ad6c-7791-80c0-b6a701cd3639	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-BALANCE-BUCKETED-PACKED-SETS|PAT-PROBE-SMALLEST-SET-FIRST|PAT-REFINE-HASHED-CANDIDATES-EXACTLY	ALL_PAGES:1-16	NOT_APPLICABLE	5EF338A5FB2949D1735448287B8ED029DD938B9B9EFCAA0245C75A062C03A849
3	G05-BATCH-3	1	PAPER-2101.12631	50	80	28	sources/papers/PAPER-2101.12631.pdf	D9A6F52D17107B182E567BAEDD3546F0D65BC5A01B547BA814EC7900B1E1C344	cache/g04/text/PAPER-2101.12631.txt	3ECB30E987D7E12B9E810CE039550D62505CBC3DAF9450BCBFCCC7DFD6BA8AFE	AQ-003|AQ-004|AQ-005|AQ-006|AQ-007|AQ-008|AQ-009|AQ-011|AQ-012	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-acf6-7771-8451-a65c16a84220	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-BOUND-SEARCH-CANDIDATE-FRONTIER|PAT-PRUNE-NEIGHBORS-BY-DIVERSITY	ALL_PAGES:1-28	NOT_APPLICABLE	BDFCE2DA08518836B4C1E0A3CFE0399E19D10DCC49910B5E847B85D47BF0FBB8
4	G05-BATCH-4	1	PAPER-HASH-c2a6a5317d82ac28	32	75	23	sources/papers/PAPER-HASH-c2a6a5317d82ac28.pdf	BAA22C36BF3BEA07A296D156BA4096445BF6F618B1BE87D29111313833310350	cache/g04/text/PAPER-HASH-c2a6a5317d82ac28.txt	2947CFE57FD93037122C441CF9AED78F32966EB0DEE7D94A7E79EED7F306F180	AQ-002|AQ-004|AQ-005|AQ-007|AQ-008|AQ-009|AQ-010|AQ-012	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ae5f-7992-a0b1-5e1a33825021	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-PUSHBACK-LARGE-RESIDUALS-LOCALLY	ALL_PAGES:1-23	NOT_APPLICABLE	472F01565F5CCBC60E9B1D5AF45B115403BE1BEEA891D20A1567024B956D5A3D
5	G05-BATCH-5	1	PAPER-1011.5425	30	65	13	sources/papers/PAPER-1011.5425.pdf	D22DC46362D7C94320ABDDEAB399515D3C9E152B5AE735132364565C697F55DD	cache/g04/text/PAPER-1011.5425.txt	B4ACF2B2A98B4396A4683B51B4FE40FE5921E5F24D59A5453AFF041A3C7D0A80	AQ-002|AQ-003|AQ-004|AQ-005|AQ-006|AQ-007|AQ-008|AQ-009|AQ-010|AQ-011|AQ-012	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ade2-7481-b8c6-e02f38b82848	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-COMPOSE-MULTIRESOLUTION-CLUSTER-ORDERS	ALL_PAGES:1-13	NOT_APPLICABLE	F57DBF8882FC1DB1B4511FD1184B83C70646915635BE6D8CC07B311AC8448BAD
6	G05-BATCH-1	2	PAPER-1806.08092	40	65	28	sources/papers/PAPER-1806.08092.pdf	394B92E82D271097270EFC642211C36D2C2A842EAADA08AAF05AE844B550DDBE	cache/g04/text/PAPER-1806.08092.txt	58FD02527BBBFE296D9B15DE163598EA4C2EE11B67047AA58AC07BDE3E839797	AQ-001|AQ-002|AQ-003|AQ-004|AQ-005|AQ-006|AQ-007|AQ-008|AQ-009|AQ-010|AQ-011|AQ-012	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ac83-7793-86db-1f0b3e883afa	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-INTERLEAVE-PARTITION-UPDATES-SAFELY|PAT-SELECT-PARTITION-SCATTER-MODE|PAT-SKIP-INACTIVE-BINS-HIERARCHICALLY|PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY	ALL_PAGES:1-28	NOT_APPLICABLE	2A76E2BC9DE71F2CBCEC981AEA4CFB79FA88129B417A21C612AF5FCFD4B74093
7	G05-BATCH-2	2	PAPER-2605.17992	43	65	15	sources/papers/PAPER-2605.17992.pdf	20D3DD23731AA3BB2B42C977AFA67E762E13A907B21116DB500A753A61A59556	cache/g04/text/PAPER-2605.17992.txt	2474FAF686279493E7BBCC5D14B9C92CB5B8E454703FC4D480C567493D15CE6A	AQ-002|AQ-003|AQ-004|AQ-005|AQ-007|AQ-008|AQ-009|AQ-011|AQ-012	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ad6c-7791-80c0-b6a701cd3639	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-EXPLORE-SUPERSET-VERIFY-RESULTS|PAT-ROUTE-FILTERS-BY-COST|PAT-SCAN-RARE-FILTER-FREQUENT	ALL_PAGES:1-15	NOT_APPLICABLE	186B02F3140325A5FCB41389B698EF524CC1C578F629D2916F0F0870A2972159
8	G05-BATCH-3	2	PAPER-2511.07886	1	54	27	sources/papers/PAPER-2511.07886.pdf	CA3F97983B29B92E3628741EAED91DD0329DA84742910905F977B219117D62EA	cache/g04/text/PAPER-2511.07886.txt	1C82504B3BC67CA197DFD97CC0DCBDFAF7B8561E1E492495C470A10866C0EE6A	AQ-002|AQ-003|AQ-004|AQ-008|AQ-011	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-acf6-7771-8451-a65c16a84220	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-INLINE-LOW-DEGREE-ADJACENCIES|PAT-PIPELINE-ASYNC-IO-COMPUTE|PAT-PRIORITIZE-RESIDENT-ACTIVE-BLOCKS	ALL_PAGES:1-27	NOT_APPLICABLE	C0BD1966E59E17B1D9FC4E65C6C1F6B86838824BCE34CD6F5C9B8F7C1659ACEE
9	G05-BATCH-4	2	PAPER-2602.21514	9	46	15	sources/papers/PAPER-2602.21514.pdf	4421334C1036E80CB06A1B1A6162E4C80F708E1B7467CD8928A05255DB26F465	cache/g04/text/PAPER-2602.21514.txt	2339025960D83A2A3DA39B2C3D12B602E93890F0B99D283841A212D27D97DF90	AQ-007|AQ-008	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ae5f-7992-a0b1-5e1a33825021	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-CACHE-ENTRY-NEARBY-VERTICES|PAT-COLOCATE-NEIGHBOR-CODES-ONDISK|PAT-COLOCATE-NEIGHBORS-WITHIN-PAGES|PAT-FILTER-COMPRESSED-RERANK-EXACTLY|PAT-GROW-BEAM-WIDTH-PROGRESSIVELY|PAT-NAVIGATE-MEMORY-BEFORE-DISK|PAT-PIPELINE-ASYNCHRONOUS-DISK-READS|PAT-REPLENISH-IO-EACH-COMPLETION|PAT-SEARCH-EVERY-FETCHED-RECORD	ALL_PAGES:1-15	NOT_APPLICABLE	B90EBA7E32CB5092845F9A7163C7E8CDC12E57BDC0F07E22DEEAA0CF3A51B4EF
10	G05-BATCH-5	2	PAPER-1905.04264	2	44	13	sources/papers/PAPER-1905.04264.pdf	E1B50224235F964F5723FBCA3E25BBA6D96DFEEDD3EFCCCA4967C83B478512CF	cache/g04/text/PAPER-1905.04264.txt	D46384F46A46D6F6984889DCFD228127D7220F04C57E8520FCEB1AF3D3C01044	AQ-003|AQ-008	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ade2-7481-b8c6-e02f38b82848	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-PARTITION-UPDATES-BY-DESTINATION|PAT-RELOG-PREDICTED-ACTIVE-EDGES	ALL_PAGES:1-13	NOT_APPLICABLE	66F473C03F7BC6AABAE45869570EDB2205C8C4140E99F1A74FF2F3C5DED4DED0
