source_batch	capability	topology_need	sidecar_need	build_store_need	snapshot_catalog_need	algorithm_state	memory_plan	execution_strategy	support_status	falsifier
Batch-01	current.walk.forward_one/two` and `current.walk.backward_one/two	flat dual CSR plus dense-key indirection	none	none for current seed	manifest only	small query-local hop expansion	`mmap` fast mode; page-cache mediated RSS	current `MmapWalkRuntime`	P1-ImplementedExactLowRam	current tests stop proving correct walk parity on fixture corpus
Batch-01	gds.graph.project	flat CSR alone is insufficient	node/relationship projection metadata, label/type/property sidecars	dense-id assignment, dictionaries, sorted runs, projection validation	named graph generation identity	build scratch rather than runtime-heavy state	projection estimate must include build scratch and semantic sidecars	build/control plane compile into a published snapshot	NeedsArchitectureSpike	a working implementation appears that serves native/cypher projection from the existing seven-file snapshot with no new artifacts
Batch-01	gds.graph.list	none directly	schema, histogram, size, and configuration metadata	optional counts/histograms	user/database/name scoped graph catalog	none	metadata-only	snapshot/projection catalog query	P0-RegisteredCompatible	user workflows do not depend on durable graph identity or ambiguity handling
Batch-01	gds.pageRank.stream	flat global adjacency is likely enough as a first primitive	optional relationship weight sidecar; degree metadata may be cached or derived	estimate statistics and projection metadata	named graph selection and watermark reporting	one or more per-node double vectors plus Pregel runtime state	no deterministic-RAM claim without accounting for O(V) doubles, scratch, and page cache	`mmap` for normal fast mode; explicit stream or reject/spill for strict mode	NeedsArchitectureSpike	traced kernel later proves that PageRank requires mutable adjacency packaging rather than flat CSR plus sidecars
Batch-01	gds.pageRank.write	same as PageRank stream	same as PageRank stream plus result/write-property semantics	writeback planning metadata	graph generation plus write target identity	same PageRank state plus write path	same as stream plus result/writeback accounting	algorithm compute plus OLTP writeback or explicitly documented alternative	NeedsArchitectureSpike	write mode can be made correct without an explicit write target or result artifact
Batch-01	gds.model.list	none	model-artifact metadata	model registration state	model catalog identity and versioning	none	metadata-only	model catalog query	P0-RegisteredCompatible	v003 intentionally excludes all model-facing surface from claimed compatibility
Batch-01	gds.pipeline.list	none	pipeline metadata	pipeline catalog state	pipeline catalog identity	none	metadata-only	pipeline catalog query	P0-RegisteredCompatible	pipeline catalog turns out to be dead surface for all target workflows
Batch-01	gds.listProgress	none	none	job metadata store	none beyond job identity	active progress rows only	operational telemetry memory only	operations facade over job tracker	P0-RegisteredCompatible	callers never rely on progress procedures in target workflows
Batch-02	catalog family	topology reference only	schema, labels, types, node/relationship properties, result metadata	projection facts, dictionaries, counts, export metadata	named graph identity, generation, watermark, list/drop semantics	minimal	metadata plus estimate rows	catalog queries over snapshot metadata and build facts	NeedsArchitectureSpike	traced catalog tests show all required semantics can be derived from anonymous snapshot files alone
Batch-02	centrality family	graph traversal or message-passing over global topology	optional relationship weights, result properties	estimate stats and projection metadata	named graph selection and mode semantics	per-node numeric state, sometimes multiple vectors	O(V) state dominates on larger graphs	normal fast mode plus explicit strict-RAM alternatives for some algorithms	NeedsArchitectureSpike	later kernel traces show centrality algorithms use only trivial walk-time state
Batch-02	community family	graph traversal over full topology	optional properties, community/result sidecars	estimate stats, contracted-graph scratch metadata	named graph selection and mutate/write targets	iterative state, often contraction or frontier-like state	can be O(V) and sometimes duplicate-topology-like during contraction	global traversal plus possibly spill/contraction support	NeedsArchitectureSpike	later traces show all community modes fit pure flat topology without extra scratch or sidecars
Batch-02	path-finding family	topology plus directional semantics	weight sidecars for weighted algorithms	path-estimate inputs and projection metadata	named graph selection and writeback target semantics	frontier, distances, priority queues, path materialization	highly workload-sensitive; all-pairs forms are likely much harder	bounded frontier/queue strategies and possible rejection under strict budgets	NeedsArchitectureSpike	later traces show path-finding surface is much narrower than the proc inventory suggests
Batch-02	similarity family	often less topology-heavy than candidate generation heavy	property/vector sidecars and filter metadata	candidate-generation planning metadata	named graph selection and write/mutate targets	top-K heaps, candidate pairs, filtered search state	O(n²) risk if not pruned	blocking, candidate pruning, spill, or rejection	NeedsArchitectureSpike	traced kernels show exact all-pairs candidate growth is not actually part of target modes
Batch-02	embeddings family	graph topology or sampled graph neighborhoods	feature, vector, weight, and embedding-result sidecars	training config, result artifacts, model linkage	graph plus model or embedding artifact identity	walk corpus, dense matrices, model state, sampled batches	often larger than topology-local walk state	artifact-aware execution; likely not pure walk runtime	NeedsArchitectureSpike	kernel evidence shows embeddings can be streamed with negligible persistent artifacts
Batch-02	machine-learning family	graph plus feature/materialized training inputs	feature and model sidecars	model catalog, training metadata, feature pipelines	graph/model/pipeline identity	model state and training results	model artifacts and feature materialization can dominate	training/inference pipeline, not just topology scan	NeedsArchitectureSpike	later PRD scope explicitly removes ML surface from claims
Batch-02	misc and sysinfo families	mixed, often metadata or helper operations	varies	varies	often catalog or operations metadata	low to medium	mostly small except graph transforms	utility procedures, operations telemetry, or graph transforms	NeedsArchitectureSpike	later source review shows these are purely thin aliases with no independent compatibility burden
Batch-03	OLTP receipt ingress	none	none	durable append log, replay order, checksummed batches	watermark handoff to later publication	none	bounded ingress buffer plus disk-backed log	append, optionally `fsync`, then async compile	P0-RegisteredCompatible	snapshots are always rebuilt straight from OLTP truth and never need durable incremental receipts
Batch-03	dense-id and dictionary facts	none directly	label/type/property dictionary state	transactional fact tables or sorted runs	generation-scoped outputs	low to medium	explicit sort and dictionary scratch budgets	build-only; never user query serving	NeedsArchitectureSpike	compiler can derive everything cheaply from snapshots alone without reusable facts
Batch-03	publication-ready generation metadata	none directly	manifest/checksum/watermark metadata	durable generation state before swap	active pointer, retention, rollback, reader pins	low	metadata is small but correctness-critical	validate then atomically publish	NeedsArchitectureSpike	active-generation semantics can be made safe with only ad hoc files and no durable metadata state
