source_batch	option_group	option_id	option_summary	helps_prd_outcomes	known_blockers	required_capabilities	evidence_strength	dominant_ram_risks	current_status	next_falsifier
Batch-01	base-architecture	A	Neo4j OLTP -> Build Store -> flat CSR	clean OLTP/OLAP split; simple published snapshot read path; preserves current seed	graph catalog, sidecars, and mutate/write semantics are not solved by topology alone	snapshot open/query; catalog identity; build reproducibility	medium	per-node algorithm state and build scratch can exceed heap-only intuition	P0-RegisteredCompatible	complete one more traced family besides PageRank and show it still fits without cells
Batch-01	base-architecture	B	Neo4j OLTP -> Build Store -> flat CSR plus sidecars	covers semantics outside topology: labels, types, weights, properties, results	sidecar cataloging, writeback, and holistic estimates still need explicit design	graph project/list; PageRank weighted modes; result sidecars	medium	sidecar duplication and page-cache blow-up if columns are over-materialized	P0-RegisteredCompatible	find a required GDS family that needs mutable topology instead of topology plus sidecars
Batch-01	base-architecture	C	Neo4j OLTP -> Build Store -> cellular CSR snapshots	may help locality, bounded rebuilds, and packaging	no first-party evidence yet that cells are required for the traced surface	locality-heavy workloads; bounded rebuild; optional local compaction	low	duplicated metadata, boundary overhead, cache churn if partitioning is poor	NeedsArchitectureSpike	show that flat global CSR plus sidecars cannot honestly meet a representative GDS family or locality budget
Batch-01	base-architecture	D	Neo4j OLTP -> Build Store -> hybrid flat plus cellular publication	preserves flat global scans while allowing locality packaging	duplicates topology unless tightly justified; ops complexity rises	same as B plus selective locality packaging	low	duplicate topology, duplicate page-cache competition, publication complexity	NeedsArchitectureSpike	prove cells matter for one high-value family without breaking global scan economics
Batch-01	base-architecture	E	Neo4j OLTP -> Build Store -> multi-generation snapshot catalog	required for watermarks, rollback, and atomic publication	active-pointer, retention, reader-pinning, and restart-recovery design still missing	named graph identity; generation swap; watermark reporting	medium	catalog metadata is small, but poor retention can silently multiply disk and cache pressure	P0-RegisteredCompatible	find a credible published-snapshot design that does not need generation or watermark semantics
Batch-03	build-store	BS-A	append-only receipt log only	durable ingress; replayability	weak metadata, weak publication state, weak dedupe/dictionary support	receipt replay only	medium	rebuild jobs still need side metadata somewhere else	NeedsArchitectureSpike	show a full snapshot compiler can operate reproducibly from only a receipt log
Batch-03	build-store	BS-B	embedded transactional metadata store only	catalog metadata; durable state; reader pinning	poor fit for high-volume append receipt ingress by itself	generation metadata; dictionaries; validation state	medium	in-place growth and internal buffering can hide scratch costs	NeedsArchitectureSpike	show ingest and replay throughput are good enough without a separate append log
Batch-03	build-store	BS-C	append-only receipt log plus embedded transactional metadata/fact store	matches ingress, durable state, publish discipline, replay, validation, and crash recovery	more moving parts than a single engine	receipt log; durable facts; generation metadata; validation reports	high	two stores mean duplication if fact retention is not bounded	P0-RegisteredCompatible	a later simpler single-store design proves equally clear and lower-RAM
Batch-03	build-store	BS-D	full LSM or delta-serving layer queried by OLAP users	high freshness potential	violates PRD boundary, invites hidden RAM, query-time reconciliation, and serving-plane confusion	live merge reads; tombstones; freshness overlays	high against adopting it	memtables, compaction backlog, page cache, and query-time merge state	ExplicitlyOutOfScope	PRD later explicitly allows OLAP queries to read from a live mutable middle layer
Batch-04	publication	PG-A	per-generation snapshot payload only, no active catalog	preserves the current simple file payload	no active pointer, weak rollback, weak retention semantics	none beyond file emission	high as current payload format	low metadata RAM, but high correctness ambiguity	NeedsArchitectureSpike	prove readers can never race publication or cleanup without a catalog
