priority	tier	lane	repo	folder	file	kind	line_count	fan_in	fan_out	total_degree	purpose	read_prompt	dossier_path
1	T0_IMPLEMENTATION_COMPLETE_READ	catalog_lifecycle	neo4j-gds-src	core-api	core-api/src/main/java/org/neo4j/gds/api/GraphStore.java	source	238	453	18	471	Map graph identity, lifecycle, catalog scoping, snapshot ownership, and artifact state.	Read this entire file as a catalog/snapshot lifecycle contract. Extract identities, ownership boundaries, lifecycle transitions, concurrency assumptions, error cases, and what a Rust implementation must persist or reject.	docs_PRD03/reference-learning/gds-v2-dossiers/001-catalog_lifecycle-GraphStore.md
2	T0_IMPLEMENTATION_COMPLETE_READ	memory_estimator	neo4j-gds-src	memory-usage	memory-usage/src/main/java/org/neo4j/gds/applications/algorithms/machinery/MemoryEstimateResult.java	source	98	307	4	311	Extract explicit memory-accounting vocabulary, estimator composition, ranges, and reject-before-run contracts.	Read this entire file as a strict RAM contract. Extract every memory term, range, estimator composition rule, unit, high-water state, rejection condition, and testable invariant.	docs_PRD03/reference-learning/gds-v2-dossiers/002-memory_estimator-MemoryEstimateResult.md
3	T0_IMPLEMENTATION_COMPLETE_READ	memory_estimator	neo4j-gds-src	memory-usage	memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimation.java	source	50	292	4	296	Extract explicit memory-accounting vocabulary, estimator composition, ranges, and reject-before-run contracts.	Read this entire file as a strict RAM contract. Extract every memory term, range, estimator composition rule, unit, high-water state, rejection condition, and testable invariant.	docs_PRD03/reference-learning/gds-v2-dossiers/003-memory_estimator-MemoryEstimation.md
4	T0_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	graph-projection-api	graph-projection-api/src/main/java/org/neo4j/gds/RelationshipType.java	source	52	294	1	295	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/004-projection_build-RelationshipType.md
5	T0_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	graph-projection-api	graph-projection-api/src/main/java/org/neo4j/gds/Orientation.java	source	83	273	0	273	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/005-projection_build-Orientation.md
6	T0_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	graph-projection-api	graph-projection-api/src/main/java/org/neo4j/gds/NodeLabel.java	source	48	256	1	257	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/006-projection_build-NodeLabel.md
7	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/procedures-facade-api	procedures/procedures-facade-api/src/main/java/org/neo4j/gds/procedures/GraphDataScienceProcedures.java	source	44	246	7	253	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/007-procedure_surface-GraphDataScienceProcedures.md
8	T0_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	proc/catalog	proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	source	124	244	7	251	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/008-projection_build-GraphProjectProc.md
9	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/machinery/AlgorithmProcessingTimings.java	source	35	211	0	211	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/009-olap_algorithm-AlgorithmProcessingTimings.md
10	T0_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	graph-projection-api	graph-projection-api/src/main/java/org/neo4j/gds/api/nodeproperties/ValueType.java	source	257	168	3	171	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/010-projection_build-ValueType.md
