artifact	owning_req	state	prd_plane	verification_command	evidence_path	next_action
README.md	REQ-GAP-001.0	Verified	all planes	test -f docs_PRD03/implementation-readiness/README.md	docs_PRD03/implementation-readiness/README.md	Keep verification summary updated after future packet edits.
V003-Implementation-Readiness-Tracker.tsv	REQ-GAP-013.0	Verified	all planes	awk -F '\t' 'NR>1 && $3 !~ /^(Missing|Specified|Stubbed|Implemented|Verified|Rejected)$/ {print}' docs_PRD03/implementation-readiness/V003-Implementation-Readiness-Tracker.tsv	docs_PRD03/Gap-Closure-Implementation-Plan.md	Promote remaining rows only after their gaps close.
GDS-Procedure-Support-Registry.tsv	REQ-GAP-002.0;REQ-GAP-003.0	Stubbed	OLAP snapshot storage; Projection Build Store	test "$(awk 'END{print NR-1}' docs_PRD03/reference-learning/GDS-Public-Surface-Inventory.tsv)" = "$(awk 'END{print NR-1}' docs_PRD03/implementation-readiness/GDS-Procedure-Support-Registry.tsv)"	docs_PRD03/reference-learning/GDS-Public-Surface-Inventory.tsv	Replace registry NeedsSource cells with exact config/result schema evidence.
Support-Status-Runtime-Semantics.md	REQ-GAP-014.0	Verified	all planes	rg -n "P0-RegisteredCompatible|P1-ImplementedExactLowRam|P2-ImplementedLater|UnsupportedButRegistered|ExplicitlyOutOfScope" docs_PRD03/implementation-readiness/Support-Status-Runtime-Semantics.md	docs_PRD03/implementation-readiness/GDS-Procedure-Support-Registry.tsv	Use these semantics in compatibility canaries and procedure dispatch specs.
Neo4j-Compatibility-Canary-Matrix.md	REQ-GAP-004.0;REQ-GAP-015.0	Stubbed	all planes	rg -n "Bolt|Python|Java|JavaScript|Go|\\.NET|CALL|YIELD|APOC|cypher-shell|browser" docs_PRD03/implementation-readiness/Neo4j-Compatibility-Canary-Matrix.md	gitrefrepo/neo4j-testkit-src;gitrefrepo/neo4j-docs-bolt-src	Turn command shapes into executable tests after server protocol skeleton exists.
OLTP-Record-Store-Rust-Contract.md	REQ-GAP-005.0	Stubbed	OLTP storage	rg -n "nodes|relationships|properties|WAL|locks|checkpoints|dense nodes|relationship groups|property blocks|dynamic records" docs_PRD03/implementation-readiness/OLTP-Record-Store-Rust-Contract.md	gitrefrepo/neo4j-src/community/record-storage-engine	Do line-level audit for WAL, locks, checkpoints, and schema-token sources.
Projection-Build-Store-Physical-Contract.md	REQ-GAP-006.0	Verified	Projection Build Store	rg -n "receipt|ordering|idempotency|replay|dense|dictionary|sorted|validation|retention|compaction|partial" docs_PRD03/implementation-readiness/Projection-Build-Store-Physical-Contract.md	docs_PRD03/reference-learning/Batch-03-Projection-Build-Store-Precedents.md	Create executable fixture formats before implementing receipt ingestion.
Snapshot-Publication-State-Machine.md	REQ-GAP-007.0	Verified	Projection Build Store; OLAP snapshot storage	rg -n "staged|validating|published|retired|failed|garbage|rollback|reader" docs_PRD03/implementation-readiness/Snapshot-Publication-State-Machine.md	docs_PRD03/reference-learning/Batch-04-Publication-And-Generation-Catalog.md	Convert transitions into catalog tests before build-store code.
Memory-Estimate-Formula-Book.tsv	REQ-GAP-008.0	Stubbed	all planes	awk -F '\t' 'NF != 19 {print NR ":" NF ":" $0}' docs_PRD03/implementation-readiness/Memory-Estimate-Formula-Book.tsv	docs_PRD03/reference-learning/Batch-09-Benchmarks-And-Observability.md	Replace NeedsBenchmark rows with measured constants and implementation formulas.
Cells-Adoption-Falsifier-Plan.md	REQ-GAP-009.0	Stubbed	Projection Build Store; OLAP snapshot storage	rg -n "adopt|postpone|reject|boundary-edge|dirty-region|page-cache|metadata overhead" docs_PRD03/implementation-readiness/Cells-Adoption-Falsifier-Plan.md	docs_PRD03/reference-learning/Architecture-Option-Scorecard.tsv	Run benchmark thresholds before deciding Tilehouse as default.
Artifact-Model-Catalog-Contract.md	REQ-GAP-010.0	Stubbed	all planes	rg -n "user|database|graph|generation|procedure|config hash|watermark|model|pipeline|cleanup" docs_PRD03/implementation-readiness/Artifact-Model-Catalog-Contract.md	docs_PRD03/reference-learning/Batch-08-Hard-GDS-Families-And-Model-Artifacts.md	Decide durability policy for models and pipelines.
Benchmark-Proof-Plan.md	REQ-GAP-011.0	Verified	all planes	rg -n "Neo4j Cypher|Neo4j GDS|Knight Bus|cold|projection|publication|RSS|page cache|spill|correctness" docs_PRD03/implementation-readiness/Benchmark-Proof-Plan.md	docs_PRD03/reference-learning/Batch-09-Benchmarks-And-Observability.md	Create benchmark harness after API/canary skeleton.
