source_batch	family_group	visible_local_inventory_signal	dominant_graph_access_pattern	dominant_state_shape	dominant_non_topology_dependency	risk_50gb_on_8gb	target_support_class	architecture_fit
Batch-10	catalog	54 rows	metadata and graph-handle operations	graph names, counts, schema, memory trees, lifecycle metadata	projection catalog and generation catalog	low	P0-RegisteredCompatible, then P1-ImplementedExactLowRam	requires catalog, not extra graph layouts
Batch-10	centrality	82 rows	offsets-only, frontier, or global iterative scans	degrees, distances, per-node vectors, predecessor stacks	weights, orientation, result sidecars	medium to very high depending on algorithm	mixed: easy kernels P1, expensive kernels P2 or strict-gated	canonical topology fits; runtime-state diversity is the issue
Batch-10	community	154 rows	frontier, neighborhood intersection, iterative label/community updates, contracted graph phases	community ids, queues, intersection buffers, aggregated graph workspaces	undirected views, result sidecars, workspace graphs	medium to very high	mixed: WCC/SCC/k-core P1, Louvain/Leiden/SLPA P2	canonical topology plus runtime workspace beats durable per-family layouts
Batch-10	path-finding	92 rows	frontier, priority queue, repeated global scan, random walk	visited/distance arrays, priority queues, bins, walk buffers	weights, optional predecessor sidecars	low to very high	mixed: BFS/DFS/SSSP P1, all-pairs and heavy variants P2 or strict-gated	topology fits; scratch/spill controls dominate
Batch-10	similarity	44 rows	property-vector scans and candidate generation	topK heaps, candidate lists, filtered subsets	typed property plane and relationship-result artifacts	high to very high	P2-ImplementedLater for exact large-scale modes; some may begin as UnsupportedButRegistered	property plane is mandatory; topology is secondary
Batch-10	embeddings	36 rows	random walk, propagation, neighborhood sampling, matrix-like feature transforms	embedding matrices, walk corpora, model weights, batches	artifact plane, model plane, typed property plane	very high	P2-ImplementedLater with strict gates; some training-heavy paths may start UnsupportedButRegistered	canonical topology is enough as substrate; artifact/workspace demands dominate
Batch-10	machine-learning	46 rows	feature transforms, train/predict pipelines, model orchestration	model candidates, train/test splits, prediction buffers	model catalog, pipeline catalog, artifact plane	very high	P0-RegisteredCompatible, implementation staged through P2	not a topology problem; it is an artifact/catalog problem
Batch-10	misc	40 rows	transforms, helper ops, property scans	scalar stats, transformed columns, lightweight graph rewrites	property plane, result plane	low to medium	many P1, some P2	mostly sidecar and procedure-surface work
Batch-10	pipeline-catalog	6 rows	metadata and lifecycle	pipeline names, configs, model links	durable metadata plane	low	P0-RegisteredCompatible, then P2	requires catalog semantics, not new graph storage
Batch-10	sysinfo	5 rows	reporting only	counters and state summaries	telemetry and memory introspection	low	P0-RegisteredCompatible, then P1	should ride the memory-contract work
Batch-10	common and test	16 rows combined	support scaffolding	validation and helper semantics	registry, diagnostics, testing	low	P0-RegisteredCompatible	not storage-driving
