lane	path	sha256	bytes	line_count	read_span	coverage_status	algorithms_mentioned	patterns_mentioned	evidence_id
lane-08	docs_PRD06/graph-learning/README.md	19153725ae0b5858c3cc8972cfee53dd7b6bf23755d2892603143e0500096ed4	2535	43	1-43	line_read	lsm-compaction,wal-group-commit,roaring-idsets,mvcc-snapshot,cow-tree-snapshot,bloom-filter,semiring-traversal,connected-components,pagerank,delta-stepping,hnsw-search,product-quantization,vamana-ann,ivf-probe,posting-compression,bm25-scoring,wand-pruning,fst-dictionary,incremental-delta-iteration,metamorphic-testing,tolerant-validation	category-syntheses,corpus-verification	A08-F0001
lane-08	docs_PRD06/graph-learning/algorithm-application-domains-map-v2.md	f2ff7740b0e511b89fde8ded2bb3b682a958801d710c64fc078fff2a6acced7e	13840	287	1-287	line_read	reachability,bfs,shortest-paths,connected-components,scc,pagerank,betweenness-centrality,nodesimilarity,louvain,k-core,weighted-path-product,cycle-detection	under-graphed-domains,dual-csr,component-diff	A08-F0002
lane-08	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-mermaid.md	782e7794fec93a62cc7de2940229571501600006857681cfae2ff4e58680dfbb	8816	152	1-152	line_read	tlp-testing,norec-testing,history-checking,differential-validation,tolerant-validation,ground-truth-recall,linearizability-checking,pqs-testing,cert-testing,elle-anomaly-inference	oracle-cost-hierarchy,reproducer,relation-per-algorithm	A08-F0003
lane-08	docs_PRD06/graph-learning/bloom-filter-shortcut-mermaid.md	8c1ecdcdaf77469b5ac1ad705fdc3cb5ff93939df68d4e3788f5856dd69145f2	6126	151	1-151	line_read	bloom-filter,blocked-bloom,ribbon-filter,double-hashing	one-sided-error,lsm-read-shortcut	A08-F0004
lane-08	docs_PRD06/graph-learning/component-hooking-shortcutting-mermaid.md	f0c9435fa0f6d356df6800cdf9b3a769ca65192fbcbb9fae9c24a5ebe36c25b2	7696	150	1-150	line_read	connected-components,hook-shortcut,afforest,fastsv,union-find,shiloach-vishkin,liu-tarjan,label-propagation,boruvka	cas-link,pointer-jumping,partition-canonicalization	A08-F0005
lane-08	docs_PRD06/graph-learning/corpus-capstone-pattern-synthesis-ascii.md	750bdbd25f9d61ab36334859dc2b05a6404773aa1fc5c79065b7fdf6de691d75	8716	179	1-179	line_read	lsm-compaction,wal-group-commit,cow-tree-snapshot,posting-compression,hnsw-search,incremental-delta-iteration,product-quantization,vamana-ann,roaring-idsets,wand-pruning,bloom-filter,ivf-probe,bm25-scoring	five-layer-machine,seven-engine-ideas,oracle-stack	A08-F0006
lane-08	docs_PRD06/graph-learning/cow-tree-snapshot-ascii.md	b4022a1ea88d3f296e5fabad06d9bd561ad948dc56a7b3307251c4600a2b02d9	7588	169	1-169	line_read	cow-tree-snapshot,lsm-compaction,wal-group-commit,mvcc-snapshot	dual-meta-root-flip,path-copy,highest-valid-txid	A08-F0007
lane-08	docs_PRD06/graph-learning/csr-adjacency-layout-ascii.md	fcf0585217335c2ad44b04f8168be310c7ec25ecaef5580f05f50f80d1660a55	7561	173	1-173	line_read	csr-build,bfs,spmv,delta-rle-compression	csr-csc,dual-csr,count-scan-scatter,immutable-delta-rebuild	A08-F0008
lane-08	docs_PRD06/graph-learning/csr-adjacency-layout-mermaid.md	8a8fd9ae9c376e4af32aa5318301a855dc377ea8fba958a1039eff414f6c2749	7147	153	1-153	line_read	csr-build,bfs,pagerank,spmv,delta-rle-compression	csr-csc-coo,count-scan-scatter,direction-switching	A08-F0009
lane-08	docs_PRD06/graph-learning/dataflow-compute-pattern-synthesis-ascii.md	5dd5f996bf4de6e89d9c545e6e5c287bb6cd924660839cccc0f9874fb315dfee	7561	164	1-164	line_read	incremental-delta-iteration,semi-naive-iteration,bfs,connected-components,superstep-convergence	barrier-vs-frontier,vertex-cut,antichain-progress	A08-F0010
lane-08	docs_PRD06/graph-learning/delta-stepping-buckets-ascii.md	cfc4a0e50af0a1539f687284738c0877b47a3331ab446d8c0d213a5d2c6bc83e	7879	176	1-176	line_read	delta-stepping,dijkstra,bellman-ford,bfs,k-core,min-plus-relaxation	bucket-fusion,lazy-deletion,thread-local-bins	A08-F0011
lane-08	docs_PRD06/graph-learning/domain-keywords-glossary.md	9e2871b3a6133c4dd3bca348b3d533814c82fbaeb46771ecaf8142321ba8101c	7702	148	1-148	line_read	louvain,leiden,label-propagation,connected-components,scc,pagerank,betweenness-centrality,degree-centrality,closeness-centrality,eigenvector-centrality,articlerank,bfs,dfs,dijkstra,a-star,yen-k-shortest,delta-stepping,nodesimilarity,jaccard-similarity,overlap-similarity,cosine-similarity,knn-search,adamic-adar,common-neighbors,fastrp,node2vec,graphsage,hashgnn,triangle-counting,local-clustering-coefficient,k-core,hnsw-search,ivf-probe,product-quantization,scalar-quantization,binary-quantization,opq,vamana-ann,nsg-ann,kd-tree,random-projection-trees,lsh,bm25-scoring,tf-idf,block-max-wand,levenshtein-automata,lsm-compaction,bloom-filter,wal-group-commit,aries-recovery	glossary,execution-models,out-of-core-families,verification-vocabulary	A08-F0012
lane-08	docs_PRD06/graph-learning/frontier-pushpull-switching-ascii.md	d1e7fc7149beaf890d097a6ec5c6179102775dc375985a0201db444efcb181b1	7527	168	1-168	line_read	direction-optimizing-bfs,connected-components,delta-stepping,pagerank	push-pull,csr-csc,sparse-dense-frontier,hysteresis	A08-F0013
lane-08	docs_PRD06/graph-learning/full-text-search-pattern-synthesis-mermaid.md	2ab36f7f047e9729d98dec75524d663a325013d15ce19386cd942822a2119bae	7770	152	1-152	line_read	posting-compression,bm25-scoring,wand-pruning,fst-dictionary,ivf-probe,rrf-fusion	immutable-segments,sort-at-flush,exact-top-k	A08-F0014
lane-08	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-mermaid.md	abd41172f9bf0baa5a466590c97126866a0aa92099499ad36d16e421cd48b4dc	7698	155	1-155	line_read	bfs,pagerank,connected-components,delta-stepping,semiring-traversal,afforest,louvain,leiden,k-core,hnsw-search	ordering-strictness,frontier-density,differential-dialects	A08-F0015
