source_batch	family	tiny_oracle_graph	first_party_gds_behavior_source	flat_csr_parity_check	external_secondary_oracle	estimate_check	parity_class	readiness_after_this_batch
Batch-11	PageRank	Wikipedia-style rank example with expected per-node rank properties	PageRankTest.java:68-123, 143-172	snapshot-build into current canonical runtime; future PageRank kernel must consume the same adjacency proven by tests/graph_adjacency_runtime_contract.rs:61-93	gapbs PRVerifier; petgraph PageRank probability invariant; rustworkx PageRank-vs-Python	PageRankMemoryEstimateDefinition plus v003 vector-size accounting	NumericToleranceParity	P1-ready to implement on canonical topology
Batch-11	BFS	line, tree, reachable/unreachable fixtures	GDS BFS proc/tests plus current truth-index walk queries	exact one-hop/two-hop topology parity already exists via current runtime; future BFS kernel must match reachability/parent depth on same snapshot	gapbs BFSVerifier	frontier/visited/parent memory contract	ExactSetParity plus parent-depth invariant	P1-ready to implement on canonical topology
Batch-11	WCC	mono and union graph fixtures with seeded components	WccTest.java:89-174	logical orientation over current canonical adjacency plus partition normalization	gapbs CCVerifier	disjoint-set and optional seed/weight state	PartitionParity	P1-ready to implement on canonical topology
Batch-11	TriangleCount	no-triangle line, clique5, adjacent triangles, self-loop, parallel edges	IntersectingTriangleCountTest.java:45-205	undirected logical projection over canonical adjacency, then global/local triangle count parity	gapbs TCVerifier; rustworkx transitivity toy cases; igraph triangle APIs	degree-gated intersection buffers and output arrays	ExactValueParity	P1-ready if sorted/intersection-friendly adjacency is preserved
Batch-11	Dijkstra / SSSP	weighted Wikipedia shortest-path fixture	DijkstraTest.java:73-140, 142-215	exact path/cost parity over canonical weighted sidecars	gapbs SSSPVerifier; petgraph Dijkstra/A* invariant checks	distance, predecessor, queue state	ExactPathParity	P1-ready with weight sidecars
Batch-11	BellmanFord	negative-edge and negative-cycle fixtures	BellmanFordTest.java:53-169	exact path/cost parity plus negative-cycle rejection over canonical weighted sidecars	petgraph Bellman-Ford quickcheck	per-node distance plus cycle-detection state	ExactPathParity plus RejectionParity	P1/P2 boundary, but test plan is clear
Batch-11	SCC	three disjoint strongly connected groups	SccTest.java:40-138	forward plus reverse canonical adjacency must yield same component partitioning	petgraph SCC invariants	stack/index/visited estimate classes	PartitionParity	P1-ready with reverse adjacency
Batch-11	KCore	blossom graph, three-core graph, K4, empty graph	KCoreDecompositionTest.java:43-219	exact core values over undirected logical view of canonical adjacency	none needed beyond first-party tiny graphs	degree/core-value arrays	ExactValueParity	P1-ready
Batch-11	NodeSimilarity	person-item bipartite-like toy graph with explicit expected similarities	NodeSimilarityTest.java:77-120, 133-240	result-set and ordering parity on canonical adjacency plus optional weights	optional GraphBLAS-style later cross-check; current first-party oracle is enough	topK/topN, vectors, cutoff, component prepass	ExactSetParity plus ranking order	P2-implementable later; no longer oracle-blocked
Batch-11	KNN / FilteredKnn	3-node numeric-property fixture and filtered tiny graphs	KnnTest.java:71-136, 192-239; filtered family tests from Batch 08	property-plane parity first, topology only for node identity and optional filters	none required for first pass	neighbor-list, sampling, topK, filter-state memory	ExactSetParity plus sorted-neighbor invariant	P2-implementable later; property-plane dependent
Batch-11	FastRP	scalar-versus-array feature graph and neighbor-average propagation cases	FastRPTest.java:72-121, 123-165	exact property-shape and propagation parity on canonical topology plus feature sidecars	none required for first pass	embedding dimension and per-node vectors	ExactValueParity for tiny fixtures, tolerance for larger embeddings	P2-feasible with strict RAM gates
Batch-11	RandomWalk / Node2Vec	tiny cyclic and zero-degree graphs; small embedding graph	RandomWalkTest.java:89-159; Node2VecTest.java:99-198, 200-237	canonical adjacency plus RNG seed parity; single-thread exact, higher-concurrency relaxed or invariant-based	rustworkx random-walk toy cases	walk-buffer, corpus, probability cache, embedding matrix	SeededDeterministicParity plus RejectionParity	NeedsArchitectureSpike for large-scale practicality, but no longer oracle-undefined
Batch-11	ScaleProperties	tiny scalar and array property graph with exact scaled outputs	ScalePropertiesTest.java:59-109, 144-220	property-plane-only parity independent of topology complexity	none required	property-column stats and output vectors	ExactValueParity	P1-ready on typed property plane
Batch-11	Louvain / Leiden	weighted clique, seeded community graph, expected partitions/modularity	LouvainTest.java:60-159; LeidenWeightedCliqueTest.java:41-90; LouvainMemoryEstimateDefinitionTest.java:39-84	partition parity on outputs plus modularity/level-count tolerance, but only after a contracted-graph workspace exists atop canonical topology	optional later modularity cross-checks from competitor shelves	contracted-graph workspace, dendrogram, intermediate communities	PartitionParity plus NumericToleranceParity plus EstimateParity	Still NeedsArchitectureSpike because workspace/spill behavior is not yet proven
