source_test_or_doc	input_graph_shape	procedure_or_config	expected_output	failure_behavior	fixture_value	PRD_acceptance_area	confidence	falsifier
proc/machine-learning/src/test/java/org/neo4j/gds/ml/pipeline/node/classification/predict/NodeClassificationPipelineWriteProcTest.java:178	Named graph plus trained node classification pipeline/model fixture.	gds.beta.pipeline.nodeClassification.predict.write.estimate	MemoryEstimateResult range for write prediction.	Estimator must fail deterministically if model/pipeline/config missing.	Query string calls estimate with graphNameOrConfiguration and algoConfiguration.	ML write estimate coverage.	DirectSource	Re-run targeted test or inspect updated assertion values.
proc/machine-learning/src/test/java/org/neo4j/gds/ml/linkmodels/pipeline/predict/LinkPredictionPipelineStreamProcTest.java:138	Link prediction graph with target label/config.	gds.beta.pipeline.linkPrediction.predict.stream.estimate	Expected memory range per fixture.	Invalid target labels/config must produce procedure error.	Parameterized expectedMemoryRange in test.	Candidate pair estimate and stream behavior.	DirectSource	Re-run targeted test or compare source assertion changes.
collections-memory-estimation/src/test/java/org/neo4j/gds/collections/hsa/HugeSparseCollectionsTest.java:121	Sparse page/max-index/value-count fixtures.	HugeSparseCollections estimate methods.	MemoryRange best/worst estimates.	Invalid expected values versus max index rejects.	Primitive and array estimate fixtures.	Sparse sidecar memory formula.	DirectSource	Run test or inspect changed fixture constants.
applications/algorithms/machinery/src/test/java/org/neo4j/gds/applications/algorithms/machinery/DefaultMemoryGuardTest.java	Algorithm factory with memory estimate or unimplemented estimate.	DefaultMemoryGuard	Reject over-budget or absent estimator according to guard behavior.	MemoryEstimationNotImplementedException is caught and mapped by guard path.	Guard fixture with mocked estimate.	Strict RAM reject semantics.	DirectSource	Run targeted test or inspect guard assertions.
applications/graph-store-catalog-results/src/test/java/org/neo4j/gds/applications/graphstorecatalog/GraphMemoryUsageTest.java:34	GraphStore/CSRGraphStore fixture.	GraphMemoryUsage.of	Node mapping, relationship topology, and memoryInfo detail map.	Packed adjacency unsupported path is explicit.	Expected detail keys and memory bytes.	Resident memory reporting.	DirectSource	Run the test or inspect assertion changes for adjacencyLists bytesTotal, bytesOnHeap, and bytesOffHeap.
pipeline/src/test/java/org/neo4j/gds/ml/pipeline/PipelineCatalogTest.java	Per-user pipeline catalog fixtures.	PipelineCatalog set/get/drop/list/exists.	User-scoped pipeline identity and duplicate rejection.	Missing pipeline throws NoSuchElementException.	Pipeline names and user names.	Pipeline lifecycle compatibility.	DirectSource	pipeline/src/test/java/org/neo4j/gds/ml/pipeline/PipelineCatalogTest.java:42
open-model-catalog/src/test/java/org/neo4j/gds/core/model/OpenModelCatalogTest.java	Loaded model fixtures per user.	OpenModelCatalog	Model set/get/list/drop/exist semantics and publish/store rejection in openGDS.	Missing model suggests available model names.	Model name, creator, model class.	Model lifecycle compatibility.	DirectSource	open-model-catalog/src/test/java/org/neo4j/gds/core/model/OpenModelCatalogTest.java:325
io/csv/src/test/java/org/neo4j/gds/core/io/file/csv/CsvExportEstimationTest.java:55	Graph with sampled node/relationship properties.	CsvExportEstimation	Fixed node and relationship data estimates.	Estimator should remain bounded by sample accounting.	CSV estimator fixture properties.	IO export memory estimates.	DirectSource	Run the test or inspect changed expected range around estimation.max.
gds-values/src/test/java/org/neo4j/gds/values/primitive/PrimitiveValuesTest.java:64	Scalar and primitive array property values.	PrimitiveValues.create	GdsValue wrappers for supported types and NO_VALUE for null.	Unsupported property value type throws IllegalArgumentException.	Number, Object[], byte/short/int/long/float/double arrays.	Property value compatibility.	DirectSource	Run the test or inspect unsupported value assertion messages.
legacy-cypher-projection tests plus CypherRecordLoader source	Cypher node/relationship query rows.	GraphProjectFromCypherConfig and CypherRecordLoader	Read-only query, mandatory columns, EstimatedRows-based sizing.	AuthorizationViolationException becomes read-only error; missing columns mention AS hints.	nodeQuery, relationshipQuery, parameters.	Legacy Cypher projection support or unsupported decision.	DirectSource	legacy-cypher-projection/src/main/java/org/neo4j/gds/projection/CypherRecordLoader.java:60
