source_batch	prd_outcome	supporting_claims	current_confidence	next_experiment_or_evidence_spike
Batch-01	Neo4j-compatible API	CLAIM-B01-013 through CLAIM-B01-021; CLAIM-B01-024 through CLAIM-B01-031	medium	generate a checked inventory artifact for all visible gds.* procedures and major Bolt/Cypher/driver touchpoints
Batch-01	Neo4j-shaped OLTP	CLAIM-B01-032	medium	add relationship/property record, WAL, lock, and Bolt/testkit evidence in the next OLTP batch
Batch-01	Published OLAP snapshots	CLAIM-B01-001 through CLAIM-B01-011	high for current seed; low for full v003	design the snapshot-generation catalog and reader-pinning contract
Batch-01	Projection Build Store	CLAIM-B01-015; CLAIM-B01-017; CLAIM-B01-022; option rows A-B-E	low	run the Build Store precedent batch against apache-iggy, redb, fjall, and rocksdb
Batch-01	Complete GDS surface	CLAIM-B01-013 through CLAIM-B01-021; proc counts in CLAIM-B01-016	medium	generate the full surface inventory before any architecture sufficiency claim
Batch-01	Strict holistic RAM	CLAIM-B01-002; CLAIM-B01-006; CLAIM-B01-009; CLAIM-B01-023; CLAIM-B01-028 through CLAIM-B01-030	medium	define a v003 estimate object that includes page-cache, direct buffers, scratch, sidecars, and result state
Batch-01	Atomic publication	CLAIM-B01-004; CLAIM-B01-008; CLAIM-B01-018; CLAIM-B01-022; option row E	low	create the generation-catalog batch and publication-state machine
Batch-02	Complete GDS surface	CLAIM-B02-001 through CLAIM-B02-007	medium	enrich the TSV with config type, result type, estimate path, and oracle-test columns for at least catalog, centrality, community, similarity, and embeddings
Batch-02	Neo4j-compatible API	CLAIM-B02-002; CLAIM-B02-004; CLAIM-B02-005; CLAIM-B02-006	medium	add Bolt/driver/cypher-shell/client canary evidence so public surface is tied to real client behavior
Batch-02	Strict holistic RAM	CLAIM-B02-003; CLAIM-B02-008	low to medium	trace representative high-pressure families like KNN, Leiden, WCC, and Node2Vec to real estimator and kernel paths
Batch-03	Projection Build Store	CLAIM-B03-001 through CLAIM-B03-004; CLAIM-B03-007	medium-high	decide whether the first implementation shape is BS-C with a minimal receipt log and embedded metadata store
Batch-03	Published OLAP snapshots	CLAIM-B03-001; CLAIM-B03-004; CLAIM-B03-005; CLAIM-B03-006	medium	create the dedicated publication-generation batch and define active-pointer swap semantics
Batch-03	Strict holistic RAM	CLAIM-B03-004; CLAIM-B03-007; CLAIM-B03-008	medium	turn journal, scratch, and background-buffer classes into a reusable memory contract object
Batch-03	Atomic publication	CLAIM-B03-003; CLAIM-B03-005; CLAIM-B03-006	medium	define durable-versus-pending generation states and reader-pinning rules in one catalog note
Batch-04	Published OLAP snapshots	CLAIM-B04-001; CLAIM-B04-004; CLAIM-B04-005; CLAIM-B04-006	medium-high	define a concrete generation catalog schema and active-pointer file contract
Batch-04	Atomic publication	CLAIM-B04-002; CLAIM-B04-003; CLAIM-B04-004; CLAIM-B04-007	high for the need; medium for the final shape	specify staged/valid/failed/retired generation transitions and restart recovery rules
Batch-04	Projection Build Store	CLAIM-B04-004; CLAIM-B04-005	medium	align generation publication with the BS-C Build Store recommendation from Batch 03
Batch-04	Strict holistic RAM	CLAIM-B04-005; CLAIM-B04-006	medium	add retained-generation cache pressure to the later memory contract batch
Batch-05	Neo4j-compatible API	CLAIM-B05-006 through CLAIM-B05-027	high for boundary identification; low-medium for full implementation	route one narrow end-to-end slice through Bolt -> Cypher CALL -> procedure/value marshalling -> result behavior
Batch-05	Neo4j-shaped OLTP	CLAIM-B05-001 through CLAIM-B05-005	high for the shape boundary	add WAL, lock, and index-path evidence in a later OLTP-deepening pass
Batch-05	Complete GDS surface	CLAIM-B05-022; CLAIM-B05-023 plus Batch 02 inventory	medium	continue with sidecars/planner and later algorithm-family batches before making storage sufficiency claims
Batch-05	Published OLAP snapshots	CLAIM-B05-022; CLAIM-B05-023	medium	prove that named graph/project/list/drop flows map cleanly onto generationed snapshot publication
Batch-05	Strict holistic RAM	CLAIM-B05-004; CLAIM-B05-022; CLAIM-B05-023	low-medium	tie the compatibility boundary to sidecar and algorithm-state evidence in Batch 06 and Batch 07
Batch-06	Complete GDS surface	CLAIM-B06-001 through CLAIM-B06-006; CLAIM-B06-009; CLAIM-B06-012	medium	trace more algorithm families from public modes to concrete sidecar and state needs in the algorithm-feasibility batch
Batch-06	Published OLAP snapshots	CLAIM-B06-003; CLAIM-B06-004; CLAIM-B06-007; CLAIM-B06-008	medium-high	compare hot Arrow-style sidecars versus cold Parquet sidecars under the same generation catalog
Batch-06	Projection Build Store	CLAIM-B06-006; CLAIM-B06-008; CLAIM-B06-013	medium	tie sidecar publication and recovery into the existing Build Store recommendation from Batch 03
Batch-06	Strict holistic RAM	CLAIM-B06-001 through CLAIM-B06-006; CLAIM-B06-010; CLAIM-B06-011	medium	add measured estimate formulas for sidecars, vectors, spill, and decode buffers in the observability batch
Batch-06	Neo4j-compatible API	CLAIM-B06-005; CLAIM-B06-011; CLAIM-B06-013	medium	ensure planner, sidecar, and artifact choices do not narrow the already-bounded Neo4j/GDS front surface
Batch-07	Complete GDS surface	Answer First items 3 through 5; Architecture Fit Matrix rows for PageRank, BFS / traversal, WCC, NodeSimilarity, and FastRP	medium-high	finish the hard-family and long-tail passes so representative rows grow into broader family coverage
Batch-07	Strict holistic RAM	Answer First items 1 through 5; general low-RAM global scan profile row; Requirement Impact rows for `REQ-LEARN-008.0`, `REQ-LEARN-044.0`, and `REQ-LEARN-046.0`	medium-high	carry the representative-family state formulas into the benchmark and estimator-discipline batches
Batch-08	Complete GDS surface	Answer First items 1 through 6; Architecture Fit Matrix rows for Louvain, Leiden, TriangleCount, Node2Vec, KNN, FilteredKnn, and pipeline/model surface	high for storage-shape direction; medium for implementation breadth	complete the long-tail support-tier classification and oracle/parity planning before claiming all-family readiness
Batch-08	Strict holistic RAM	Answer First items 1 through 6; Storage Verdict sections 1 through 4; Requirement Impact rows for `REQ-LEARN-008.0`, `REQ-LEARN-046.0`, and `REQ-LEARN-047.0`	medium-high	turn hard-family workspace, artifact, and candidate-growth pressure into explicit estimator and rejection policies
Batch-09	Strict holistic RAM	Architecture Fit After This Batch; `P0 / P1 / P2 Outcome`; Requirement Impact rows for `REQ-LEARN-023.0`, `REQ-LEARN-027.0`, and `REQ-LEARN-029.0`	high for reporting discipline; medium for implemented telemetry	encode measured-versus-estimated memory fields and benchmark phase labels into future procedure and benchmark artifacts
Batch-10	Complete GDS surface	Answer First items 1 through 6; Long-Tail GDS Family Support-Tier Matrix; Full-Surface Feasibility Answer	high for architecture classification	translate the support-tier answer into implementation sequencing and deterministic unsupported behavior
Batch-10	Strict holistic RAM	Answer First items 2 through 4; Estimator Semantics And v003 Formula Skeleton; Procedure-To-Kernel And Storage-Need Synthesis	high for formula vocabulary; medium-high for runtime honesty	write executable estimate checks that mirror the compositional estimator classes and high-water-mark rules
Batch-10	Neo4j-compatible API	Answer First items 1, 2, and 4; `GDS as ABI` conclusion in Architecture Verdict After Batch 10	medium-high	route real `gds.*` catalog and algorithm rows through a catalog-aware value/procedure surface without narrowing semantics
Batch-11	Complete GDS surface	Answer First items 1 through 6; Family Oracle And Flat-CSR Parity Matrix; Still-Gated Family Rows	high for test-readiness classification	implement the first `P1` families against the named oracle and parity checks before broadening support claims
Batch-11	Strict holistic RAM	Short test-readiness thesis; Oracle And Parity Taxonomy row `EstimateParity`; Family Oracle And Flat-CSR Parity Matrix estimate-check column	medium-high	turn estimate parity and rejection parity into concrete test harnesses for the first implemented families
