edge_id	source_pattern_id	target_pattern_id	relationship_type	rationale	epistemic_label	source_paper_ids	source_pointer_ids
PEDGE-0001	PAT-REFINE-ENDPOINT-SAMPLES-RECURSIVELY	PAT-STORE-RANDOM-WALK-ENDPOINTS	COMPLEMENTS	DERIVED_INFERENCE[premises=the endpoint index supplies sampled long-walk destinations and recursive refinement composes shorter indexed walks; assumptions=the same walk distribution and landmark policy are used; uncertainty=the paper does not isolate the two stages in an ablation]	DERIVED_INFERENCE	PAPER-HASH-0232e71ded2b5c43	PAT-REFINE-ENDPOINT-SAMPLES-RECURSIVELY#SP-001|PAT-STORE-RANDOM-WALK-ENDPOINTS#SP-001
PEDGE-0002	PAT-SELECT-PARTITION-SCATTER-MODE	PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY	COMPLEMENTS	DERIVED_INFERENCE[premises=sequential partition streaming bounds resident graph state and mode selection changes how active messages are delivered within that partition schedule; assumptions=the partition metadata remains valid across scatter modes; uncertainty=the paper reports whole-system results rather than a complete factorial ablation]	DERIVED_INFERENCE	PAPER-1806.08092	PAT-SELECT-PARTITION-SCATTER-MODE#SP-001|PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY#SP-001
PEDGE-0003	PAT-SKIP-INACTIVE-BINS-HIERARCHICALLY	PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY	COMPLEMENTS	DERIVED_INFERENCE[premises=hierarchical activity summaries can suppress reads for inactive destination bins while the partition streamer supplies the remaining graph state; assumptions=activity metadata is cheaper than the I/O it avoids; uncertainty=the optimization was described analytically and not independently reproduced]	DERIVED_INFERENCE	PAPER-1806.08092	PAT-SKIP-INACTIVE-BINS-HIERARCHICALLY#SP-001|PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY#SP-001
PEDGE-0004	PAT-INTERLEAVE-PARTITION-UPDATES-SAFELY	PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY	COMPLEMENTS	DERIVED_INFERENCE[premises=partition streaming exposes disk and compute phases and safe interleaving overlaps those phases while preserving update visibility constraints; assumptions=storage and compute have exploitable concurrency; uncertainty=benefit depends on device behavior and partition workload balance]	DERIVED_INFERENCE	PAPER-1806.08092	PAT-INTERLEAVE-PARTITION-UPDATES-SAFELY#SP-001|PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY#SP-001
PEDGE-0005	PAT-DECOUPLE-NAVIGATION-VECTOR-BLOCKS	PAT-PLACE-SCALE-GROWING-STATE	COMPLEMENTS	DERIVED_INFERENCE[premises=scale-aware placement assigns growing ANN state across memory tiers and navigation-vector separation gives each state class an independent transfer and cache policy; assumptions=IDs preserve the locality used by block placement; uncertainty=the source does not isolate decoupling from the broader system]	DERIVED_INFERENCE	PAPER-2603.01779	PAT-DECOUPLE-NAVIGATION-VECTOR-BLOCKS#SP-001|PAT-PLACE-SCALE-GROWING-STATE#SP-001
PEDGE-0006	PAT-DECOUPLE-NAVIGATION-VECTOR-BLOCKS	PAT-PREFETCH-CANDIDATE-BLOCKS-ASYNCHRONOUSLY	COMPLEMENTS	DERIVED_INFERENCE[premises=separate navigation and vector blocks expose predictable candidate-address requests and asynchronous prefetch can overlap those block reads with search work; assumptions=candidate lookahead is accurate enough to avoid excessive wasted I/O; uncertainty=the source reports system-level latency without a full prediction-accuracy curve]	DERIVED_INFERENCE	PAPER-2603.01779	PAT-DECOUPLE-NAVIGATION-VECTOR-BLOCKS#SP-001|PAT-PREFETCH-CANDIDATE-BLOCKS-ASYNCHRONOUSLY#SP-001
PEDGE-0007	PAT-BATCH-UPDATES-BEFORE-CONSOLIDATION	PAT-PLACE-SCALE-GROWING-STATE	COMPLEMENTS	DERIVED_INFERENCE[premises=scale-aware placement defines where persistent ANN state lives and batched consolidation amortizes migration and merge work as that state changes; assumptions=update staleness is acceptable until a consolidation boundary; uncertainty=the evaluated update mix may not represent latency-critical continuous mutation]	DERIVED_INFERENCE	PAPER-2603.01779	PAT-BATCH-UPDATES-BEFORE-CONSOLIDATION#SP-001|PAT-PLACE-SCALE-GROWING-STATE#SP-001
PEDGE-0008	PAT-COMPRESS-SORTED-ID-STREAMS	PAT-REUSE-LOADED-SUBGRIDS-SELECTIVELY	COMPLEMENTS	DERIVED_INFERENCE[premises=compressed sorted streams reduce bytes per loaded subgrid and selective reuse reduces repeated subgrid loads; assumptions=decode cost does not erase the saved storage traffic; uncertainty=the paper does not report a joint component ablation]	DERIVED_INFERENCE	PAPER-HASH-b12240577b20eaad	PAT-COMPRESS-SORTED-ID-STREAMS#SP-001|PAT-REUSE-LOADED-SUBGRIDS-SELECTIVELY#SP-001
PEDGE-0009	PAT-COMPRESS-SORTED-ID-STREAMS	PAT-SCHEDULE-SUBGRIDS-BY-DEPENDENCY	COMPLEMENTS	DERIVED_INFERENCE[premises=compressed streams determine the physical units read for subgrids and dependency scheduling orders those units while preserving algorithm semantics; assumptions=the scheduler can operate on compressed metadata without forcing full decode; uncertainty=storage format and scheduler effects were not independently isolated]	DERIVED_INFERENCE	PAPER-HASH-b12240577b20eaad	PAT-COMPRESS-SORTED-ID-STREAMS#SP-001|PAT-SCHEDULE-SUBGRIDS-BY-DEPENDENCY#SP-001
PEDGE-0010	PAT-EXPLORE-SUPERSET-VERIFY-RESULTS	PAT-REFINE-HASHED-CANDIDATES-EXACTLY	SHARES_MECHANISM_WITH	premises=both mechanisms preserve true candidates through a compact approximate superset and remove false positives with an exact final operation; assumptions=membership-filtered graph traversal and monotone set evaluation are comparable at the candidate-refinement level; uncertainty=their traversal semantics and cost models differ.	DERIVED_INFERENCE	PAPER-0708.3259|PAPER-2605.17992	PAT-EXPLORE-SUPERSET-VERIFY-RESULTS#SP-001|PAT-REFINE-HASHED-CANDIDATES-EXACTLY#SP-001
