canonical_hint	raw_name	path	line_start	line_end	context_kind	evidence_id
lsm-compaction	LSM	docs_PRD06/graph-learning/README.md	17	17	storage_algorithm	A08-O0001
wal-group-commit	WAL	docs_PRD06/graph-learning/README.md	17	17	storage_algorithm	A08-O0002
roaring-idsets	roaring	docs_PRD06/graph-learning/README.md	17	17	storage_algorithm	A08-O0003
mvcc-snapshot	MVCC	docs_PRD06/graph-learning/README.md	17	17	protocol	A08-O0004
cow-tree-snapshot	COW	docs_PRD06/graph-learning/README.md	17	17	storage_algorithm	A08-O0005
bloom-filter	bloom	docs_PRD06/graph-learning/README.md	17	17	storage_algorithm	A08-O0006
csr-adjacency	CSR	docs_PRD06/graph-learning/README.md	18	18	supporting_structure	A08-O0007
frontier-push-pull	push/pull	docs_PRD06/graph-learning/README.md	18	18	algorithm_family	A08-O0008
semiring-traversal	semirings	docs_PRD06/graph-learning/README.md	18	18	algorithm_family	A08-O0009
connected-components	hooking	docs_PRD06/graph-learning/README.md	18	18	algorithm_family	A08-O0010
pagerank	PageRank	docs_PRD06/graph-learning/README.md	18	18	algorithm	A08-O0011
delta-stepping	delta-stepping	docs_PRD06/graph-learning/README.md	18	18	algorithm	A08-O0012
hnsw-search	HNSW	docs_PRD06/graph-learning/README.md	19	19	algorithm	A08-O0013
product-quantization	PQ	docs_PRD06/graph-learning/README.md	19	19	storage_algorithm	A08-O0014
vamana-ann	DiskANN	docs_PRD06/graph-learning/README.md	19	19	algorithm_family	A08-O0015
ivf-probe	IVF	docs_PRD06/graph-learning/README.md	19	19	algorithm_family	A08-O0016
posting-compression	postings	docs_PRD06/graph-learning/README.md	20	20	storage_algorithm	A08-O0017
bm25-scoring	BM25	docs_PRD06/graph-learning/README.md	20	20	algorithm	A08-O0018
wand-pruning	WAND	docs_PRD06/graph-learning/README.md	20	20	algorithm	A08-O0019
fst-dictionary	FST	docs_PRD06/graph-learning/README.md	20	20	storage_algorithm	A08-O0020
record-chain-adjacency	record chains	docs_PRD06/graph-learning/README.md	21	21	storage_algorithm	A08-O0021
pull-operator-pipeline	pull pipelines	docs_PRD06/graph-learning/README.md	21	21	protocol	A08-O0022
triple-permutation-indexing	triple permutations	docs_PRD06/graph-learning/README.md	21	21	storage_algorithm	A08-O0023
packstream-encoding	PackStream	docs_PRD06/graph-learning/README.md	22	22	protocol	A08-O0024
stub-script-conformance	testkit/boltstub	docs_PRD06/graph-learning/README.md	22	22	verification_method	A08-O0025
incremental-delta-iteration	differential frontiers	docs_PRD06/graph-learning/README.md	23	23	algorithm_family	A08-O0026
superstep-convergence	Pregel supersteps	docs_PRD06/graph-learning/README.md	23	23	protocol	A08-O0027
metamorphic-testing	metamorphic oracles	docs_PRD06/graph-learning/README.md	24	24	verification_method	A08-O0028
tolerant-validation	tolerant validation	docs_PRD06/graph-learning/README.md	24	24	verification_method	A08-O0029
reachability	reachability	docs_PRD06/graph-learning/algorithm-application-domains-map-v2.md	24	29	algorithm_family	A08-O0030
connected-components	WCC	docs_PRD06/graph-learning/algorithm-application-domains-map-v2.md	34	35	algorithm_family	A08-O0031
pagerank	PageRank	docs_PRD06/graph-learning/algorithm-application-domains-map-v2.md	34	35	algorithm	A08-O0032
